NA	NA	19868	NA	38639	170	1902484	26705	45	18911	55	97	123	7656	77	9
NA	NA	20326	NA	36856	218	1901313	26838	65	21824	59	80	138	6965	86	8
NA	NA	20042	NA	37177	226	1900761	25975	64	22603	71	84	165	7891	81	8
NA	NA	20618	NA	38096	192	1904630	27376	71	19789	51	87	130	6192	56	5
NA	NA	17153	NA	36455	241	1888051	26379	84	28199	91	82	190	10019	144	10
NA	NA	19357	NA	32805	275	1889681	24508	101	28961	115	45	162	9791	125	14
NA	NA	19060	NA	37594	258	1894216	25885	73	26195	103	76	170	8711	103	11
NA	NA	17053	NA	41704	292	1889605	27366	118	27922	95	104	182	9191	136	14
NA	NA	18978	NA	38711	264	1896196	26131	77	24749	73	111	169	8687	104	15
NA	NA	17260	NA	37144	200	1891215	27575	96	26498	75	96	183	9251	136	12
NA	NA	14342	NA	44075	192	1891679	31751	100	23452	62	163	210	7736	107	11
NA	NA	19226	NA	39007	298	1894251	26737	86	27163	102	85	179	7801	106	16
NA	NA	18630	NA	37386	274	1894187	26293	75	25517	75	86	171	8655	114	9
NA	NA	17135	NA	37875	241	1888663	25985	85	27715	101	72	174	10531	144	15
NA	NA	18024	NA	36966	239	1887622	25868	113	28079	104	82	194	9763	144	15
NA	NA	19176	NA	38359	207	1899772	27016	57	21183	63	85	154	7681	73	8
NA	NA	16410	NA	39732	268	1884079	25850	88	30626	120	105	220	11156	177	28
NA	NA	19098	NA	35560	211	1893364	25215	59	25299	77	66	161	9326	116	10
NA	NA	21523	NA	31331	250	1896527	24200	78	25163	96	51	144	8364	86	9
NA	NA	18452	NA	39235	287	1895724	26626	120	24931	85	87	155	8488	102	6
NA	NA	18382	NA	37057	236	1891752	26427	73	26612	88	93	180	9048	137	16
NA	NA	17561	NA	38698	266	1887928	25376	108	30375	112	88	197	10633	167	25
NA	NA	17390	NA	37978	246	1893165	27128	83	25170	68	92	182	9120	129	8
NA	NA	18174	NA	40535	210	1894472	26297	78	24861	77	110	191	9309	140	6
NA	NA	17942	NA	33795	244	1888598	26341	89	29230	102	62	200	9447	129	22
NA	NA	17658	NA	38419	280	1889033	26292	104	28461	94	96	207	9671	135	13
NA	NA	17664	NA	36133	286	1886467	25523	76	30341	118	77	186	10338	161	17
NA	NA	20173	NA	35579	302	1891165	24032	79	29171	128	73	169	9457	124	11
NA	NA	19589	NA	38494	218	1896634	25005	64	23244	77	88	150	9474	108	16
NA	NA	18611	NA	36614	263	1893676	25936	83	25977	79	93	158	8923	115	12
NA	NA	18809	NA	37327	350	1884857	23962	98	34048	129	84	217	10684	168	23
NA	NA	17082	NA	39475	283	1891121	27607	114	27364	85	85	174	8921	125	14
NA	NA	18502	NA	36911	206	1896269	27023	55	23171	85	71	167	8424	102	10
NA	NA	18432	NA	40594	243	1896669	27011	96	23868	68	124	188	8201	109	12
NA	NA	17612	NA	38085	217	1892373	26453	85	25748	86	75	169	9739	117	19
NA	NA	19385	NA	36671	259	1897372	27263	112	24288	79	59	171	7055	75	7
NA	NA	17196	NA	39006	269	1887147	26674	94	29936	101	110	208	9775	154	14
NA	NA	18050	NA	37806	256	1886657	24717	67	29778	108	78	206	10842	150	25
NA	NA	17533	NA	38708	228	1892129	27757	103	25259	72	77	184	8380	109	11
NA	NA	19354	NA	37017	269	1890861	24415	75	27810	101	73	157	9975	137	14
NA	NA	20372	NA	36944	234	1897528	24860	78	23628	83	75	144	8500	97	8
NA	NA	19921	NA	34716	234	1893950	24923	99	26731	97	70	139	8909	95	13
NA	NA	18359	NA	35141	240	1890621	25975	96	27246	84	65	161	9224	135	15
NA	NA	18150	NA	39899	259	1896732	28226	102	22489	59	105	164	7468	75	10
NA	NA	18775	NA	42732	199	1903690	29179	79	18317	49	132	159	6077	65	2
NA	NA	20815	NA	35538	317	1894835	24683	98	27869	118	67	174	7969	111	9
NA	NA	18286	NA	38354	264	1889852	25718	91	27813	106	108	182	9415	134	17
NA	NA	20426	NA	34804	258	1897121	25355	85	24846	87	62	133	8005	119	16
NA	NA	18264	NA	38475	214	1893300	26312	83	24423	83	90	164	9096	101	18
NA	NA	18529	NA	36781	230	1892434	25769	84	25370	91	79	166	9514	120	10
NA	NA	17930	NA	37903	199	1893760	27768	91	23775	69	90	161	8324	99	14
NA	NA	17217	NA	38611	200	1893401	28216	96	23017	55	84	173	8214	99	17
