master_regulator	outputs
GBF3	MYB3:NAP,MYB3:ZAT6,ATAF1:MYB3,ANAC032:MYB3,MYB3:NAC102,GBF2:MYB3,DOF5_4:MYB3,ABF3:DOF5_4,ABF3:ZAT10,ABF3:ZAT6,ABF3:HEC1,ABF3:ANAC032,ABF3:NAC102,ABF3:GBF2,ABF3:PIF3,ABF3:DREB2A,ABF3:ABI5,ABI5:ANAC032,ANAC032:HB6,ANAC032:ZAT10,ANAC032:ZAT6,ANAC032:HAT2,ANAC032:GBF2,HAT2:RGA,HB6:RGA,HAT2:HB53,ABI5:HAT2,ERF035:MYB56,ERF035:GBF2,ERF035:ZAT10,DOF5_4:ERF035,DOF5_4:ERF014,HB40:PDF2,NAC102:ZAT6,GBF2:NAC102,NAC102:ZAT10,TCX2:ZAT10,HB6:TCX2,HEC1:PIF3,HEC1:ZAT10,ABI5:HEC1,GBF2:HEC1,HB53:HB6,ATAF1:HB6,DOF5_4:HB53,ABI5:ZAT6,ATAF1:ZAT6,DREB2A:ZAT6,NAC6.ORE1:ZAT6,ZAT10:ZAT6,GBF2:ZAT6,HB40:NAP,DOF5_4:NAP,NAC6.ORE1:NAP,HB40:ZAT10,ABI5:HB40,ABI5:ATAF1,ABI5:GBF2,DOF5_4:ZAT10,DOF5_4:DREB2A,DOF5_4:NAC6.ORE1,GBF2:ZAT10
BRC1	HB21:SVP,HB21:NAP,HB21:HB6,HB21:TCX2,HAT2:HB21,ATAF1:MYB3,DOF5_4:MYB3,MYB3:NAP,GBF2:MYB3,ANAC032:MYB3,ABF3:ANAC032,ABF3:PIF3,ABF3:DOF5_4,ABF3:ABI5,ABF3:GBF2,ABF3:DREB2A,ANAC032:HAT2,ANAC032:GBF3,ANAC032:HB6,ABI5:ANAC032,ANAC032:GBF2,RGA:WRKY18,HAT2:RGA,HB6:RGA,HAT2:HB53,GBF3:HAT2,ABI5:HAT2,HB40:SVP,HB6:SVP,DOF5_4:NAC018,HB40:NAC018,HB53:NAC018,ABI5:ATAF1,ATAF1:HB6,HB6:WRKY18,HB6:TCX2,ABI5:GBF3,GBF3:PIF3,HB53:HB6,DOF5_4:HB53,DOF5_4:NAP,HB40:NAP,ABI5:HB40,ABI5:GBF2,DOF5_4:DREB2A
ERF035	GBF2:MYB3,GBF2:ZAT10,ANAC032:GBF2,ANAC032:MYB3,DOF5_4:MYB3,DOF5_4:ZAT10,ANAC032:ZAT10,WRKY18:ZAT10,GBF3:ZAT10,ANAC032:GBF3
GBF2	ERF035:ZAT10,DOF5_4:ERF035,NAC102:ZAT6,NAC102:ZAT10,ABF3:NAC102,MYB3:NAC102,MYB3:ZAT6,ANAC032:MYB3,ATAF1:MYB3,DOF5_4:MYB3,DOF5_4:ZAT10,ZAT10:ZAT6,ANAC032:ZAT10,HEC1:ZAT10,ABF3:ZAT10,ABF3:ANAC032,ANAC032:HB6,ABI5:ANAC032,ANAC032:ZAT6,ABF3:DOF5_4,DOF5_4:HB53,DOF5_4:DREB2A,ABI5:HEC1,ABF3:HEC1,HEC1:PIF3,ABI5:ZAT6,ABF3:ZAT6,DREB2A:ZAT6,ATAF1:ZAT6,ABF3:ABI5,ABF3:DREB2A,ABF3:PIF3,ATAF1:HB6,ABI5:ATAF1,HB6:RGA,HB53:HB6
TCX2	HB21:PDF2,HB21:HB6,BRC1:DOF5_4,DOF5_4:ERF014,DOF5_4:ERF003,ERF003:HB6,ERF003:ZAT10,SPCH:ZAT10,DOF5_4:ZAT10,DOF5_4:MYB3
WRKY18	HB21:HB6,ERF003:HB6,ATAF1:HB6,HB6:TCX2,ANAC032:HB6,HB6:RGA,HAT2:HB21,HB21:PDF2,HB21:TCX2,BRC1:TCX2,BRC1:DOF5_4,ATAF1:BRC1,ABI5:ATAF1,ABI5:HAT2,ABI5:ZAT6,ABI5:ANAC032,ABI5:GBF3,DOF5_4:ERF003,ATAF1:ERF003,ERF003:ZAT10,ERF003:ZAT6,TCX2:ZAT10,DOF5_4:ZAT10,DOF5_4:NAC6.ORE1,DOF5_4:DREB2A,NAC6.ORE1:ZAT6,ZAT10:ZAT6,NAC102:ZAT10,ANAC032:ZAT10,GBF3:ZAT10,HAT2:RGA,GBF3:PIF3,DREB2A:ZAT6,GBF3:HAT2,ANAC032:HAT2,ATAF1:ZAT6,GBF3:NAC102,ANAC032:GBF3,GBF3:ZAT6,NAC102:ZAT6,ANAC032:ZAT6
ABF3	NAC6.ORE1:ZAT6,ATAF1:ZAT6,ANAC032:ZAT6,ZAT10:ZAT6,bZIP52:ZAT6,ABI5:ZAT6,DREB2A:ZAT6,ERF003:ZAT6,NAC102:ZAT6,GBF2:ZAT6,MYB3:ZAT6,HB6:TCX2,HB53:HB6,ATAF1:HB6,ANAC032:HB6,ERF003:HB6,HB21:HB6,HB21:TCX2,DOF5_4:ERF014,bZIP52:ERF014,ABI5:GBF2,ABI5:ANAC032,ABI5:HEC1,ABI5:ATAF1,ATAF1:ERF003,DOF5_4:ERF003,ERF003:HEC1,ERF003:ZAT10,TCX2:ZAT10,DOF5_4:DREB2A,DOF5_4:ZAT10,DOF5_4:HB53,DOF5_4:NAC6.ORE1,DOF5_4:MYB3,HEC1:ZAT10,ANAC032:ZAT10,GBF2:ZAT10,NAC102:ZAT10,ATAF1:MYB3,MYB3:NAC102,ANAC032:MYB3,GBF2:MYB3,HEC1:PIF3,ANAC032:GBF2,GBF2:HEC1,GBF2:NAC102
HB40	ABI5:HEC1,ERF003:HEC1,HEC1:SVP,HEC1:ZAT10,HEC1:PIF3,ABF3:HEC1,BRC1:TCX2,BRC1:DOF5_4,BRC1:WRKY18,BRC1:NAC018,BRC1:NAP,HB21:HB6,HB6:TCX2,ERF003:HB6,HB6:WRKY18,HB6:SVP,HB53:HB6,HB6:RGA,HB21:NAP,HB21:TCX2,HAT2:HB21,HB21:SVP,HB21:PDF2,DOF5_4:ERF014,ABF3:ABI5,ABI5:HAT2,DOF5_4:ERF003,ERF003:ZAT10,TCX2:ZAT10,DOF5_4:ZAT10,DOF5_4:NAC018,DOF5_4:NAC6.ORE1,DOF5_4:HB53,DOF5_4:NAP,ABF3:DOF5_4,DOF5_4:ERF035,DOF5_4:MYB3,HAT2:HB53,HB53:SPCH,HB53:NAC018,ERF055:WRKY18,NAC6.ORE1:NAP,WRKY18:ZAT10,ERF035:ZAT10,ABF3:ZAT10,SPCH:ZAT10,MYB3:NAP,ABF3:PIF3,PDF2:WRKY18,HAT2:RGA,RGA:WRKY18,ERF035:MYB56
ZAT6	HB40:NAC018,HB40:ZAT10,HB40:NAP,HB40:SVP,ABI5:HB40,DOF5_4:DREB2A,ABF3:DREB2A,ABF3:bZIP52,bZIP52:ERF014,HB6:RGA,ANAC032:HB6,ATAF1:HB6,HB21:HB6,ERF003:HB6,HB6:SVP,HB53:HB6,HAT2:HB21,HB21:NAP,HB21:SVP,DOF5_4:ERF014,ABI5:ANAC032,ABF3:ABI5,ABI5:GBF2,ABI5:GBF3,ABI5:HAT2,ABI5:ATAF1,ATAF1:ERF003,DOF5_4:ERF003,ERF003:ZAT10,ATAF1:MYB3,DOF5_4:ZAT10,DOF5_4:MYB3,DOF5_4:NAP,ABF3:DOF5_4,DOF5_4:HB53,DOF5_4:NAC6.ORE1,DOF5_4:NAC018,HB53:NAC018,HAT2:HB53,NAC6.ORE1:NAP,ANAC032:ZAT10,NAC102:ZAT10,GBF3:ZAT10,GBF2:ZAT10,ABF3:ZAT10,ANAC032:MYB3,MYB3:NAC102,MYB3:NAP,GBF2:MYB3,ANAC032:GBF2,GBF2:NAC102,ABF3:GBF2,GBF3:NAC102,ABF3:NAC102,HAT2:RGA,ANAC032:HAT2,ABF3:ANAC032,ANAC032:GBF3,GBF3:HAT2
DREB2A	ABF3:PIF3,ABF3:ZAT10,ABF3:ZAT6,ABF3:DOF5_4,ZAT10:ZAT6,DOF5_4:ZAT10
ERF003	DOF5_4:NAC018,DOF5_4:ZAT10,HEC1:ZAT10,ABI5:HEC1,ABI5:ZAT6,ZAT10:ZAT6,NAC018:ZAT6,ATAF1:ZAT6,bZIP52:ZAT6,HB6:RGA,ATAF1:HB6,ABI5:ATAF1
NAC6.ORE1	BRC1:NAP,BRC1:DOF5_4,DOF5_4:NAP
HAT2	ERF035:MYB56,ERF035:GBF3,GBF3:PIF3,HB21:TCX2,HB53:NAC018,ABI5:GBF3,ANAC032:GBF3,ABI5:ANAC032
SPCH	HAT2:HB53,HB53:HB6,GBF3:PIF3,ABF3:PIF3,ABF3:ZAT6,GBF3:ZAT6,ERF003:ZAT6,bZIP52:ZAT6,ANAC032:ZAT6,ABI5:ZAT6,ATAF1:ZAT6,GBF2:ZAT6,ZAT10:ZAT6,DREB2A:ZAT6,NAC102:ZAT6,MYB3:ZAT6,ABF3:bZIP52,ABI5:HAT2,ANAC032:HAT2,GBF3:HAT2,ABF3:DREB2A,ANAC032:GBF3,GBF3:ZAT10,ABI5:GBF3,GBF3:NAC102,ABI5:ANAC032,ABF3:ABI5,ABI5:ATAF1,ABI5:GBF2,ANAC032:GBF2,ABF3:ANAC032,ANAC032:ZAT10,ANAC032:MYB3,ANAC032:HB6,ABF3:GBF2,ABF3:ZAT10,ABF3:NAC102,GBF2:NAC102,GBF2:MYB3,GBF2:ZAT10,MYB3:NAC102,NAC102:ZAT10,ATAF1:MYB3,ATAF1:ERF003,ERF003:HB6,ERF003:ZAT10,ATAF1:HB6
DOF5_4	HB53:HB6,HB21:HB6,ERF003:HB6,HB53:NAC018,BRC1:NAC018,BRC1:NAP,HB21:PDF2,ABF3:PIF3,ERF035:ZAT10,MYB3:NAP,HB21:NAP,NAC6.ORE1:NAP,ABF3:DREB2A,ABF3:ZAT10,ERF003:ZAT10
NAC102	HB40:ZAT10,ABF3:ZAT10,DOF5_4:ZAT10,GBF2:ZAT10,GBF3:ZAT10,ZAT10:ZAT6,HB6:RGA,HAT2:RGA,ABF3:ZAT6,DREB2A:ZAT6,MYB3:ZAT6,NAC6.ORE1:ZAT6,GBF3:ZAT6,GBF2:ZAT6,GBF3:HAT2,HB40:NAP,GBF2:MYB3,ABF3:GBF2,NAC6.ORE1:NAP,DOF5_4:NAP,MYB3:NAP,ABF3:DREB2A,DOF5_4:DREB2A,DOF5_4:MYB3,ABF3:DOF5_4,DOF5_4:NAC6.ORE1
HB53	DOF5_4:MYB3,HB6:RGA,HB6:SVP,HB6:TCX2,HB21:HB6,ERF003:HB6,HAT2:RGA,HB21:SVP,HAT2:HB21,HB21:TCX2,DOF5_4:NAC018,DOF5_4:ERF003,DOF5_4:NAC6.ORE1
HEC1	DOF5_4:ERF003,ERF003:HB6,ATAF1:ERF003,ERF003:ZAT10,ERF003:ZAT6,MYB3:ZAT6,DOF5_4:MYB3,GBF2:MYB3,ATAF1:MYB3,MYB3:NAP,MYB3:NAC102,ANAC032:MYB3,ANAC032:ZAT10,ZAT10:ZAT6,DOF5_4:ZAT10,GBF2:ZAT10,TCX2:ZAT10,ERF035:ZAT10,NAC102:ZAT10,WRKY18:ZAT10,ABF3:ZAT10,GBF3:ZAT10,ANAC032:HB6,ATAF1:HB6,HB6:RGA,HB6:SVP,HB6:TCX2,HB6:WRKY18,HB53:HB6,HAT2:RGA,RGA:WRKY18,HAT2:HB53,ABI5:HAT2,GBF3:HAT2,ANAC032:HAT2,BRC1:TCX2,GBF3:PIF3,ABF3:PIF3,ABF3:NAC102,GBF3:NAC102,NAC102:ZAT6,GBF2:NAC102,HB53:NAC018,BRC1:NAC018,DOF5_4:NAC018,NAC018:ZAT6,BRC1:WRKY18,BRC1:DOF5_4,ATAF1:BRC1,BRC1:NAP,DOF5_4:NAP,DOF5_4:NAC6.ORE1,DOF5_4:DREB2A,DOF5_4:ERF035,DOF5_4:HB53,ABF3:DOF5_4,NAC6.ORE1:ZAT6,NAC6.ORE1:NAP,bZIP52:ZAT6,ABF3:bZIP52,ABF3:ZAT6,GBF2:ZAT6,ATAF1:ZAT6,ANAC032:ZAT6,DREB2A:ZAT6,GBF3:ZAT6,ABI5:ZAT6,ABI5:ATAF1,ABF3:ABI5,ABF3:ANAC032,ABF3:GBF2,ABF3:DREB2A,ANAC032:GBF3,ABI5:ANAC032,ANAC032:GBF2,ABI5:GBF3,ABI5:GBF2,ERF035:GBF2,ERF035:GBF3
