master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G18550	AT1G09530	1	1	0	
AT3G18550	AT4G34000	1	1	0	
AT3G18550	AT1G22640	1	1	0	
AT3G18550	AT1G01720	0.999995387296826	1	0.262816169828365	AT1G03630,AT1G32550,AT1G63680,AT1G70200,AT5G52520
AT3G18550	AT1G77450	0.999999891226126	1	0.120846313603323	AT4G33470,AT5G52520
AT3G18550	AT5G05410	0.999914522721975	1	0.119727366255144	AT4G17560
AT3G18550	AT1G69490	0.999849002320519	1	0.24866452991453	AT1G03630,AT1G70200,AT5G52520
AT3G18550	AT4G31800	0.99999999991821	1	0.23510101010101	AT1G14840,AT1G68780,AT1G70200,AT2G34640,AT2G44650,AT4G16390,AT5G52520,AT5G62790
AT3G18550	AT4G36740	0.999999989806834	1	0.24866452991453	AT1G03630,AT1G32550,AT1G70200,AT2G34640,AT4G16390,AT5G52520,AT5G62790
AT3G18550	AT4G14770	0.999682883384956	1	0.211976320582878	AT2G34640,AT5G62790
AT3G18550	AT5G60850	0.999979236665319	1	0.312836021505376	AT1G03630,AT1G32550,AT1G70200,AT2G44650,AT4G33470,AT5G52520
AT3G18550	AT2G36270	0.999999996747436	1	0.102623456790123	AT1G03630,AT4G17560
AT3G18550	AT2G22540	0.999996488739371	1	0.19203795379538	AT1G03630,AT1G70200,AT4G16390
AT3G18550	AT2G18550	0.99988450060915	1	0.316925381263617	AT1G32550,AT1G70200,AT2G34640,AT4G16390,AT5G62790
AT3G18550	AT1G52880	0.99978202339536	1	0.297254150702427	AT1G03630,AT1G68780,AT1G70200,AT5G52520
AT3G18550	AT5G66700	0.999999580519031	1	0.205246913580247	AT1G32550,AT1G70200,AT2G34640,AT5G52520
AT3G18550	AT2G01570	1	1	0	
AT3G18550	AT2G22430	0.999999999619911	1	0.278675766283525	AT1G03630,AT1G14840,AT1G32550,AT1G63680,AT1G68780,AT1G70200,AT2G34640,AT4G17560,AT4G33470,AT5G47190
AT3G18550	AT4G01120	1	1	0	
AT3G18550	AT2G43060	0.154672395273859	1	6.46527777777778	AT2G39670
AT3G18550	AT5G47370	0.999998662594358	1	0.139038231780167	AT1G03630,AT2G34640
AT1G43700	AT4G01120	1	1	0	
AT1G43700	AT4G14770	1	1	0	
AT3G60490	AT5G17800	0.976313728812115	1	0.293876262626263	AT2G26550
AT3G60490	AT4G01120	1	1	0	
AT3G60490	AT1G22640	1	1	0	
AT3G60490	AT1G27730	0.99962433233407	1	0.47412037037037	AT1G06190,AT1G32470,AT1G63680,AT1G64510,AT2G26550,AT2G39670,AT3G09210,AT3G54090,AT4G18480,AT4G19100,AT5G22340
AT3G60490	AT1G77450	1	1	0	
AT3G60490	AT2G43060	0.154672395273859	1	6.46527777777778	AT2G39670
AT3G60490	AT2G22540	0.999792612448521	1	0.329861111111111	AT2G26910,AT4G16390,AT4G19100,AT4G39040,AT5G22340
AT3G60490	AT4G31800	0.999999999954013	1	0.192993366500829	AT2G26550,AT2G26910,AT2G44650,AT2G47240,AT4G16390,AT4G39040
AT3G60490	AT5G60850	0.999991645609223	1	0.298397435897436	AT1G32470,AT2G26550,AT2G26910,AT2G44650,AT4G39040,AT5G28500
AT5G17800	AT5G25190	1	1	0	
AT5G17800	AT2G18550	0.878352753455427	1	0.587752525252525	AT2G26550,AT4G02790
AT5G17800	AT1G22640	1	1	0	
AT5G63790	AT1G69490	1	1	0	
AT5G63790	AT4G34000	0.971860957204995	1	0.30787037037037	AT1G71720
AT5G63790	AT1G77450	0.999277083409226	1	0.153935185185185	AT1G71720
AT5G53210	AT1G77450	0.999999101526774	1	0.177943425076453	AT1G71720,AT5G52520,AT5G57030
AT5G53210	AT1G22640	0.994074244655737	1	0.215509259259259	AT1G71720
AT5G53210	AT4G34000	0.939038344720688	1	0.478909465020576	AT1G71720,AT2G26910
AT5G53210	AT1G27730	0.943375568808514	1	0.771425189393939	AT1G06190,AT1G14840,AT1G26570,AT1G32470,AT1G32550,AT1G68780,AT1G70200,AT2G26330,AT3G13120,AT3G27160,AT3G63190,AT4G04890,AT4G17560,AT4G30620,AT5G05740,AT5G11480,AT5G16715,AT5G50250,AT5G52520,AT5G57030,AT5G57170
AT5G53210	AT2G43060	1	1	0	
AT5G53210	AT5G47370	0.999718361517999	1	0.365959119496855	AT1G03630,AT1G71720,AT3G27160,AT4G39040,AT5G16715,AT5G22640
AT5G53210	AT1G06850	0.82175360792506	1	0.78029214559387	AT2G26910,AT3G13120,AT3G15190,AT4G30620,AT4G39040,AT5G02710,AT5G16715
AT5G53210	AT1G01720	0.948733914255117	1	0.733648542159181	AT1G03630,AT1G06190,AT1G26570,AT1G32550,AT1G70200,AT3G04760,AT3G15190,AT3G27160,AT3G63190,AT4G04890,AT4G30620,AT4G39040,AT5G05740,AT5G16715,AT5G52520,AT5G57170
AT5G53210	AT2G36270	0.999879327155946	1	0.346354166666667	AT1G03630,AT3G55800,AT4G04890,AT4G17560,AT4G30620,AT5G16715
AT5G53210	AT5G17800	1	1	0	
AT5G53210	AT4G01120	1	1	0	
AT5G53210	AT5G63790	0.980066009396333	1	0.281099033816425	AT1G71720
AT5G53210	AT5G66700	0.999614042145804	1	0.440814393939394	AT1G32550,AT1G70200,AT1G71720,AT2G26910,AT3G27160,AT4G39040,AT5G16715,AT5G22640,AT5G52520
AT5G53210	AT5G04340	0.889184040486573	1	0.49732905982906	AT1G71720
AT5G53210	AT2G22430	0.999999662804534	1	0.463460772600558	AT1G03630,AT1G06190,AT1G14840,AT1G26570,AT1G32550,AT1G68780,AT1G70200,AT2G26330,AT3G13120,AT3G27160,AT3G51140,AT3G55800,AT3G63190,AT4G17560,AT4G30620,AT4G38160,AT5G02710,AT5G11480,AT5G16715,AT5G22640
AT5G53210	AT1G09530	1	1	0	
AT5G53210	AT5G25190	1	1	0	
AT5G53210	AT5G05410	0.992320981444523	1	0.315379403794038	AT1G71720,AT4G17560
AT5G53210	AT4G11660	1	1	0	
AT5G53210	AT4G04890	0.851951516392528	1	0.66882183908046	AT3G04760,AT3G13120,AT5G57030
AT5G39610	AT4G04890	0.815336595710591	1	0.646527777777778	AT2G37660
AT5G39610	AT1G69490	0.995754335683108	1	0.346354166666667	AT1G49975,AT1G70200,AT5G05740
AT5G39610	AT5G60850	0.970416088021821	1	0.461805555555556	AT1G32470,AT1G70200,AT4G04890
AT5G39610	AT2G01570	1	1	0	
AT5G39610	AT5G04340	1	1	0	
AT5G04340	AT1G77450	0.96031138431073	1	0.340277777777778	AT1G71720
AT5G04340	AT1G01720	1	1	0	
AT4G36740	AT5G39610	0.996133292164622	1	0.385986733001658	AT1G48520,AT1G70200,AT3G09210,AT4G04890
AT4G36740	AT4G04890	0.999806745558606	1	0.202039930555556	AT3G04760,AT3G29185
AT4G36740	AT5G60850	0.999998610939699	1	0.480689797604296	AT1G03630,AT1G26570,AT1G31800,AT1G32550,AT1G70070,AT1G70200,AT1G76450,AT2G26550,AT2G26910,AT3G27160,AT3G51140,AT3G52150,AT4G04890,AT4G11175,AT4G39040,AT5G14460,AT5G18570,AT5G39830,AT5G46580,AT5G52520
AT4G36740	AT2G01570	1	1	0	
AT4G36740	AT5G47370	0.999999612173875	1	0.398739598629466	AT1G03630,AT1G36390,AT2G34640,AT3G21200,AT3G27160,AT4G11175,AT4G37510,AT4G39040,AT5G16715,AT5G18570,AT5G22640,AT5G46580,AT5G53210,AT5G53490
AT4G36740	AT1G22640	1	1	0	
AT4G36740	AT1G69490	0.99997860374388	1	0.337738391376451	AT1G03630,AT1G31800,AT1G70200,AT3G27160,AT4G11175,AT4G37510,AT5G52520
AT4G36740	AT2G36270	0.999998563026253	1	0.319272976680384	AT1G03630,AT3G09210,AT4G04890,AT4G11175,AT4G30620,AT5G16715,AT5G18570,AT5G53490
AT4G36740	AT5G17800	0.996465191750061	1	0.281099033816425	AT2G26550,AT4G02790
AT4G36740	AT2G22540	0.999989235002845	1	0.417114695340502	AT1G03630,AT1G05190,AT1G26570,AT1G31800,AT1G70200,AT2G24090,AT2G26910,AT3G27160,AT4G11175,AT4G16390,AT4G39040,AT5G53490
AT4G36740	AT4G34000	0.997922271846196	1	0.179591049382716	AT2G26910
AT4G36740	AT5G66700	0.999999331388175	1	0.514751415428167	AT1G13270,AT1G32550,AT1G36390,AT1G68590,AT1G70070,AT1G70200,AT2G26550,AT2G26910,AT2G34640,AT2G47240,AT3G09210,AT3G21200,AT3G27160,AT3G29185,AT4G02790,AT4G11175,AT4G37040,AT4G37510,AT4G39040,AT5G16715,AT5G18570,AT5G22640,AT5G46580,AT5G52520,AT5G53210
AT4G36740	AT2G43060	1	1	0	
AT4G36740	AT2G22430	0.999999999999437	1	0.36118870266915	AT1G03630,AT1G05190,AT1G06190,AT1G13270,AT1G26570,AT1G31800,AT1G32550,AT1G68590,AT1G70200,AT2G24090,AT2G34640,AT3G27160,AT3G29185,AT3G51140,AT4G02790,AT4G30620,AT4G37510,AT5G14460,AT5G16715,AT5G22640
AT4G36740	AT1G09530	1	1	0	
AT4G36740	AT5G25190	0.999988682378662	1	0.206338652482269	AT1G31690,AT3G09210,AT4G37040
AT4G36740	AT4G14770	0.998528214068819	1	0.527777777777778	AT1G05190,AT1G31690,AT2G26910,AT2G34640,AT3G09210,AT3G27160,AT3G29185,AT4G04890,AT5G16715,AT5G46580,AT5G53210,AT5G62790
AT4G36740	AT4G11660	1	1	0	
AT4G36740	AT1G44830	0.999156630687859	1	0.23510101010101	AT3G09210,AT4G16390
AT4G36740	AT1G36060	0.980066009396333	1	0.281099033816425	AT3G09210
AT4G36740	AT5G53210	0.999996745079627	1	0.4388197586727	AT1G03630,AT1G06190,AT1G26570,AT1G32550,AT1G70200,AT2G26910,AT3G04760,AT3G27160,AT3G51140,AT4G04890,AT4G30620,AT4G39040,AT5G16715,AT5G22640,AT5G52520
AT4G36740	AT1G27730	0.999661303983839	1	0.620284952849528	AT1G06190,AT1G13270,AT1G26570,AT1G31800,AT1G32550,AT1G36390,AT1G70070,AT1G70200,AT1G76450,AT2G24090,AT2G26550,AT2G32500,AT2G34640,AT3G09210,AT3G27160,AT3G29185,AT3G52150,AT4G04890,AT4G11175,AT4G30620,AT4G37040,AT5G16715,AT5G39830,AT5G52520,AT5G53210,AT5G62790
AT4G36740	AT1G52880	0.999984272234905	1	0.354261796042618	AT1G03630,AT1G31800,AT1G70200,AT1G76450,AT2G47240,AT4G11175,AT4G37510,AT5G52520
AT4G36740	AT4G31800	0.999999999999999	1	0.340277777777778	AT1G05190,AT1G13270,AT1G26570,AT1G68590,AT1G70200,AT2G24090,AT2G26550,AT2G26910,AT2G34640,AT2G47240,AT3G04760,AT4G04890,AT4G11175,AT4G16390,AT4G37510,AT4G39040,AT5G22640,AT5G46580,AT5G52520,AT5G53210,AT5G62790
AT4G36740	AT5G67060	0.999999999999996	1	0.20633865248227	AT1G70200,AT2G26910,AT2G32500,AT2G47240,AT3G04760,AT3G51140,AT4G39040,AT5G22640,AT5G52520
AT4G36740	AT3G60490	0.999999955968077	1	0.299935567010309	AT1G06190,AT1G31690,AT2G26550,AT2G26910,AT2G47240,AT3G09210,AT3G21200,AT4G16390,AT4G39040
AT4G36740	AT2G18550	0.99640896795917	1	0.680555555555555	AT1G13270,AT1G31690,AT1G31800,AT1G32550,AT1G68590,AT1G70070,AT1G70200,AT2G26550,AT2G26910,AT2G34640,AT2G47240,AT3G21200,AT3G27160,AT3G29185,AT4G02790,AT4G04890,AT4G16390,AT4G37040,AT4G37510,AT4G39040,AT5G14460,AT5G16715,AT5G22640,AT5G39830,AT5G46580,AT5G62790
