master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	0.0793692423524341	0.120100486894627	1.37443667443667	AT1G08510,AT1G22910,AT1G53180,AT1G70940,AT1G75590,AT2G06850,AT2G17880,AT2G38120,AT3G02170,AT3G06770,AT3G60550,AT3G61460,AT4G12730,AT4G22190,AT4G27260,AT4G32890,AT5G51670,AT5G54510,AT5G64330
AT1G27730	AT3G60490	0.152394391879387	0.200017639341695	1.25387205387205	AT1G08510,AT1G22910,AT1G53180,AT1G70940,AT2G06850,AT2G37640,AT2G38120,AT2G40610,AT2G42900,AT2G47930,AT3G16850,AT4G27260,AT5G11890,AT5G12940,AT5G51670,AT5G54510,AT5G57340,AT5G60840,AT5G64330,AT5G66690
AT1G27730	AT5G53210	0.308089833892984	0.380581559514863	1.12207300275482	AT1G08510,AT1G53180,AT1G70940,AT2G06850,AT2G37640,AT2G39180,AT2G40610,AT2G42900,AT3G08670,AT3G19380,AT3G49220,AT4G23820,AT4G35720,AT4G37890,AT5G02760,AT5G11890,AT5G14690,AT5G22940,AT5G25190,AT5G49170,AT5G60840
AT5G47370	AT5G53210	0.0825409780597412	0.120932130645667	1.41947779683629	AT1G53180,AT1G53700,AT1G70940,AT1G75590,AT1G79700,AT2G06850,AT2G14890,AT3G05490,AT3G19380,AT3G49220,AT4G22190,AT4G23820,AT4G28720,AT5G14690,AT5G22940,AT5G60840
AT5G53210	AT5G66700	0.0900259211914474	0.128900750796845	1.35361187633915	AT1G22330,AT1G53700,AT1G70940,AT1G75590,AT1G79700,AT2G06850,AT2G14890,AT2G17880,AT2G37640,AT2G45400,AT3G19380,AT3G58120,AT4G22190,AT4G28720,AT4G37890,AT5G11890,AT5G25190,AT5G47370,AT5G66590
AT1G69490	AT5G39610	0.0277310391178947	0.0582351821475789	1.84722222222222	AT1G23030,AT1G53700,AT2G40610,AT2G42900,AT3G08030,AT3G08670,AT3G13720,AT3G61460,AT4G38860,AT5G64330,AT5G66080
AT5G39610	AT5G60850	0.14850701145297	0.199062589819938	1.56734006734007	AT1G04610,AT2G38120,AT3G08030,AT3G08670,AT3G61460,AT4G38860,AT5G64330
AT1G01720	AT5G04340	1	1	0	
AT4G31800	AT4G36740	3.8062392932043e-08	2.39793075471871e-06	1.6026936026936	AT1G01620,AT1G04250,AT1G06980,AT1G22330,AT1G22910,AT1G23030,AT1G35430,AT1G36940,AT1G44830,AT1G53180,AT1G53700,AT1G70940,AT1G73830,AT1G75590,AT1G75780,AT1G79700,AT2G06850,AT2G14890,AT2G17880,AT2G18010,AT2G37640,AT2G38120,AT2G39180,AT2G40610,AT2G42380,AT2G45400,AT3G02170,AT3G05490,AT3G06770,AT3G08030,AT3G08670,AT3G16850,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G53250,AT3G58120,AT3G60550,AT3G61460,AT4G12730,AT4G14550,AT4G20870,AT4G22190,AT4G23870,AT4G27260,AT4G28720,AT4G30410,AT4G32890,AT4G34770,AT4G38860,AT5G11890,AT5G12940,AT5G22940,AT5G23210,AT5G25190,AT5G47370,AT5G49170,AT5G50335,AT5G51670,AT5G53980,AT5G54510,AT5G57340,AT5G59010,AT5G60840,AT5G64330,AT5G66590,AT5G67060
AT4G36740	AT5G47370	2.13969639800241e-05	0.000449336243580506	1.73995461220131	AT1G04250,AT1G04610,AT1G06980,AT1G23030,AT1G27670,AT1G35430,AT1G53180,AT1G53700,AT1G62770,AT1G70940,AT1G75590,AT1G75780,AT1G79700,AT2G06850,AT2G14890,AT2G18010,AT2G38120,AT2G42380,AT3G02170,AT3G03830,AT3G05490,AT3G06770,AT3G08030,AT3G16850,AT3G19380,AT3G49220,AT3G53250,AT3G60550,AT4G14550,AT4G20870,AT4G22190,AT4G27260,AT4G28720,AT4G30410,AT4G32890,AT4G38860,AT5G12940,AT5G22940,AT5G23210,AT5G57340,AT5G60840,AT5G66690
AT1G52880	AT4G36740	0.00124130609150578	0.00601556028960493	1.73910336239103	AT1G06980,AT1G23030,AT1G27670,AT1G44830,AT1G53180,AT1G53700,AT1G75590,AT2G37640,AT2G40610,AT3G02170,AT3G06770,AT3G08030,AT3G08670,AT3G16850,AT3G49220,AT3G61460,AT4G14550,AT4G27260,AT4G28720,AT4G32890,AT4G38860,AT5G22940,AT5G23210,AT5G51670,AT5G57240,AT5G57340,AT5G64330
AT1G69490	AT4G36740	0.0174281994301391	0.039213448717813	1.54394693200663	AT1G23030,AT1G44830,AT1G53700,AT1G75590,AT1G76240,AT2G37640,AT2G40610,AT3G06770,AT3G08030,AT3G08670,AT3G49220,AT3G61460,AT4G14550,AT4G28720,AT4G32890,AT4G38860,AT5G22940,AT5G23210,AT5G25190,AT5G51670,AT5G57240,AT5G64330
AT4G04890	AT4G36740	0.0665405108232152	0.104801304546564	1.61631944444444	AT1G04250,AT1G76240,AT2G38120,AT3G08030,AT3G08670,AT3G60550,AT4G28720,AT4G32890,AT5G54510,AT5G64330,AT5G66690
AT1G27730	AT4G36740	0.000928228873867237	0.00487320158780299	1.49215401244922	AT1G01620,AT1G04250,AT1G04610,AT1G22910,AT1G27670,AT1G44830,AT1G53180,AT1G70940,AT1G75780,AT2G06850,AT2G37640,AT2G38120,AT2G39180,AT2G40610,AT2G47930,AT3G08030,AT3G08670,AT3G16850,AT3G19380,AT3G44610,AT3G49220,AT3G53250,AT4G23870,AT4G27260,AT4G34770,AT4G37890,AT5G11890,AT5G12940,AT5G22940,AT5G23210,AT5G25190,AT5G49170,AT5G50335,AT5G51670,AT5G53980,AT5G54510,AT5G57240,AT5G57340,AT5G59010,AT5G60840,AT5G64330,AT5G66690,AT5G67060
AT2G22540	AT4G36740	0.00145778771295115	0.00612270839439483	1.61789942435104	AT1G04610,AT1G06980,AT1G35430,AT1G44830,AT1G53180,AT1G62770,AT1G70940,AT1G73830,AT1G75590,AT1G79700,AT2G18010,AT2G37640,AT2G38120,AT2G40610,AT3G08030,AT3G08670,AT3G44610,AT3G58120,AT3G61460,AT4G14550,AT4G20870,AT4G28720,AT4G30410,AT4G32890,AT4G38860,AT5G22940,AT5G23210,AT5G49170,AT5G51670,AT5G54510,AT5G57340,AT5G67060
AT2G36270	AT4G36740	0.00135961960417493	0.00611828821878718	1.68343933158748	AT1G04610,AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G75590,AT1G76240,AT2G17880,AT2G18010,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G16850,AT3G49220,AT3G50340,AT4G12730,AT4G27260,AT4G28720,AT4G32890,AT5G02550,AT5G12940,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240,AT5G66590,AT5G67060
AT2G18550	AT4G14770	0.0665405108232152	0.104801304546564	1.61631944444444	AT1G04610,AT1G06080,AT1G70940,AT3G08030,AT4G22190,AT4G27260,AT4G30410,AT5G25190,AT5G51670,AT5G54510,AT5G57340
AT1G27730	AT4G14770	0.140674323064708	0.192662659849491	1.33076043453402	AT1G04610,AT1G06080,AT1G44830,AT1G70940,AT2G40610,AT3G08030,AT4G23820,AT4G27260,AT4G35720,AT4G37890,AT5G22940,AT5G25190,AT5G51670,AT5G54510,AT5G57340
AT4G04890	AT4G31800	0.174708481457936	0.224625190445918	1.38294711824124	AT1G04250,AT2G38120,AT3G08030,AT3G08670,AT3G60550,AT4G28720,AT4G32890,AT5G14690,AT5G54510,AT5G64330
AT2G18550	AT4G04890	0.0340883442221459	0.0671114276873497	2.3510101010101	AT1G04250,AT2G38120,AT3G08030,AT3G60550,AT4G28720,AT5G54510
AT2G36270	AT5G67060	0.0353954194609655	0.0675730735163887	1.43240350525119	AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G75590,AT3G08030,AT3G08670,AT3G13720,AT3G16850,AT3G49220,AT3G50340,AT4G12730,AT4G25260,AT4G27260,AT4G28720,AT4G32890,AT4G35720,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240,AT5G66590
AT2G36270	AT5G47370	0.0554756192350315	0.0944584868055942	1.54890077243018	AT1G04610,AT1G06980,AT1G53180,AT1G53700,AT1G75590,AT2G18010,AT3G08030,AT3G16850,AT3G49220,AT4G27260,AT4G28720,AT4G32890,AT5G12940,AT5G22940
AT2G22430	AT2G36270	0.0651163278761675	0.104801304546564	1.32825429435599	AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G76240,AT2G17880,AT2G18010,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G13720,AT3G49220,AT3G50340,AT4G12730,AT4G25260,AT4G27260,AT4G28720,AT4G35720,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G66590,AT5G67060
AT1G01720	AT2G36270	0.13755587833502	0.192578229669028	1.31986531986532	AT1G53700,AT1G76240,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G13720,AT3G49220,AT4G28720,AT4G32890,AT5G12940,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240
AT2G18550	AT2G22540	0.021188779583342	0.0460307970258809	1.67182940516274	AT1G04610,AT1G06080,AT1G70940,AT1G75590,AT1G79700,AT2G37640,AT2G38120,AT3G08030,AT3G44610,AT4G28720,AT4G30410,AT4G38860,AT5G23210,AT5G51670,AT5G54510,AT5G57340
AT2G22540	AT5G67060	3.54828858306404e-05	0.000558855451832586	2.00085966043413	AT1G06080,AT1G06850,AT1G06980,AT1G08510,AT1G35430,AT1G53180,AT1G70940,AT1G73830,AT1G75590,AT1G79700,AT2G38120,AT2G40610,AT3G08030,AT3G08670,AT3G44610,AT3G58120,AT3G61460,AT4G14550,AT4G20870,AT4G28720,AT4G30410,AT4G32890,AT4G38860,AT5G02760,AT5G11420,AT5G22940,AT5G23210,AT5G51670,AT5G54510,AT5G57340
AT2G22430	AT2G22540	0.00762606828754425	0.0200184292548037	1.53089029833216	AT1G06980,AT1G08510,AT1G35430,AT1G44830,AT1G53180,AT1G62770,AT1G70940,AT1G73830,AT2G18010,AT2G37640,AT2G38120,AT2G40610,AT3G08030,AT3G08670,AT3G44610,AT3G58120,AT4G14550,AT4G28720,AT4G30410,AT4G38860,AT5G02760,AT5G11420,AT5G22940,AT5G23210,AT5G49170,AT5G51670,AT5G54510,AT5G67060
AT2G18550	AT2G22430	0.00235675978312676	0.00781451928089399	1.59303416680466	AT1G01620,AT1G04250,AT1G22330,AT1G23030,AT1G27670,AT1G53700,AT1G64640,AT1G70940,AT1G75780,AT2G14890,AT2G17880,AT2G37640,AT2G38120,AT2G42380,AT3G08030,AT3G19380,AT3G44610,AT3G50340,AT3G60550,AT4G27260,AT4G28720,AT4G30410,AT4G34770,AT4G38860,AT5G23210,AT5G25190,AT5G47370,AT5G49800,AT5G51670,AT5G54510,AT5G66590
AT2G18550	AT5G47370	0.000867492669344396	0.00487320158780299	1.86526421237165	AT1G04250,AT1G04610,AT1G23030,AT1G27670,AT1G53700,AT1G70940,AT1G75590,AT1G75780,AT1G79700,AT2G06850,AT2G14890,AT2G38120,AT2G42380,AT3G08030,AT3G16850,AT3G19380,AT3G60550,AT4G22190,AT4G27260,AT4G28720,AT4G30410,AT4G38860,AT5G23210,AT5G57340
AT1G69490	AT2G18550	0.0800669912630844	0.120100486894627	1.56734006734007	AT1G06080,AT1G23030,AT1G53700,AT1G75590,AT2G37640,AT3G08030,AT4G28720,AT4G38860,AT5G23210,AT5G25190,AT5G51670
AT1G52880	AT5G66700	0.0374761300741248	0.0686821205097461	1.56734006734007	AT1G23030,AT1G27670,AT1G53700,AT1G75590,AT2G37640,AT3G02170,AT3G06770,AT3G08030,AT3G16850,AT4G14550,AT4G27260,AT4G28720,AT4G38860,AT5G23210,AT5G51670,AT5G57340
