master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	0.96575250173977	0.973246331109274	0.572923076923077	AT1G70000,AT2G19650,AT2G21320,AT4G15550,AT5G23730,AT5G54300
AT1G27730	AT3G60490	0.563762139721722	0.973246331109274	0.993066666666666	AT1G06570,AT1G64780,AT2G19650,AT2G21320,AT2G29090,AT2G41870,AT3G24190,AT4G17840,AT4G27030,AT4G33660,AT5G23730,AT5G54300
AT1G27730	AT5G53210	0.00724158337060701	0.0798220545251708	1.62219696969697	AT1G01520,AT1G06570,AT1G64780,AT1G65490,AT1G75810,AT1G79520,AT2G19650,AT2G21970,AT2G27420,AT2G37970,AT2G41250,AT2G41870,AT3G19380,AT3G24190,AT4G13010,AT4G17840,AT4G27030,AT4G27657,AT4G34000,AT5G47560,AT5G47610,AT5G54300,AT5G59400
AT5G47370	AT5G53210	0.879209292842849	0.973246331109274	0.702641509433962	AT1G06040,AT2G37970,AT3G19380,AT3G22840,AT4G15550,AT5G47560
AT5G53210	AT5G66700	0.640879551978651	0.973246331109274	0.94040404040404	AT1G10740,AT1G48100,AT1G64780,AT1G70000,AT2G27420,AT3G19380,AT3G22840,AT4G15550,AT4G27657,AT5G47560
AT1G69490	AT5G39610	0.678024208894951	0.973246331109274	0.886666666666667	AT4G15550,AT4G28740,AT5G53970,AT5G54300
AT5G39610	AT5G60850	0.868545502135864	0.973246331109274	0.591111111111111	AT4G15550,AT5G54300
AT1G01720	AT5G04340	0.0651003732863959	0.341776959753578	3.10333333333333	AT1G79270,AT2G29090,AT2G31750
AT4G31800	AT4G36740	0.560212762948654	0.973246331109274	0.995555555555555	AT1G10740,AT1G48100,AT1G55910,AT1G59700,AT1G64780,AT1G64900,AT1G65490,AT1G70000,AT1G70985,AT1G75810,AT1G79270,AT2G19650,AT2G21185,AT2G25680,AT2G27420,AT2G29090,AT2G31750,AT2G36630,AT2G41870,AT3G19380,AT3G21670,AT3G22840,AT3G24190,AT3G27170,AT3G50560,AT3G56290,AT4G13010,AT4G15550,AT4G27657,AT5G23730,AT5G47560,AT5G54300
AT4G36740	AT5G47370	0.951888473488444	0.973246331109274	0.710895741556534	AT1G59700,AT1G66540,AT1G79270,AT2G29090,AT2G31750,AT3G19380,AT3G21670,AT3G22840,AT3G50560,AT4G15550,AT4G36530,AT5G23730,AT5G47560
AT1G52880	AT4G36740	0.391929011729759	0.866985786115439	1.10529680365297	AT1G10740,AT1G55910,AT1G64780,AT1G64900,AT1G70000,AT2G27420,AT2G29090,AT2G31750,AT4G15550,AT4G36530,AT5G23730,AT5G47560,AT5G54300
AT1G69490	AT4G36740	0.271851997710309	0.764524069514114	1.20427860696517	AT1G10740,AT1G64780,AT1G64900,AT2G27420,AT2G31750,AT3G21670,AT3G50560,AT4G15550,AT4G28740,AT4G36530,AT5G23730,AT5G47560,AT5G54300
AT4G04890	AT4G36740	0.905839868441937	0.973246331109274	0.581875	AT2G29090,AT2G36630,AT5G47560
AT1G27730	AT4G36740	0.109200682901168	0.529203309444122	1.23675276752768	AT1G55910,AT1G64780,AT1G64900,AT1G65490,AT1G66540,AT1G70985,AT1G75810,AT1G79270,AT2G19650,AT2G21320,AT2G27420,AT2G29090,AT2G41870,AT3G19380,AT3G21670,AT3G24190,AT3G27170,AT3G50560,AT4G13010,AT4G17840,AT4G27657,AT4G33660,AT4G34000,AT4G36530,AT5G23730,AT5G47560,AT5G54300
AT2G22540	AT4G36740	0.853833739312565	0.973246331109274	0.800860215053763	AT1G10740,AT1G32520,AT1G64780,AT1G66540,AT2G25680,AT3G21670,AT3G22840,AT3G50560,AT4G33660,AT4G34000,AT4G36530,AT5G47560
AT2G36270	AT4G36740	0.137440802148456	0.533051542752011	1.30263374485597	AT1G48100,AT1G64780,AT1G64900,AT1G75810,AT1G79270,AT2G27420,AT2G31750,AT2G36630,AT2G41870,AT3G24190,AT3G27170,AT4G13010,AT4G27657,AT4G33660,AT4G34000,AT5G47560,AT5G54300
AT2G18550	AT4G14770	0.973246331109274	0.973246331109274	0.387916666666667	AT1G64780,AT1G70000
AT1G27730	AT4G14770	0.775175689151129	0.973246331109274	0.819748427672956	AT1G21410,AT1G64780,AT1G64900,AT1G66540,AT1G75810,AT4G17840,AT4G27030
AT4G04890	AT4G31800	0.81804774555806	0.973246331109274	0.730196078431372	AT1G79520,AT2G29090,AT2G36630,AT5G47560
AT2G18550	AT4G04890	0.870253607668413	0.973246331109274	0.517222222222222	AT5G47560
AT2G36270	AT5G67060	0.00210563448315658	0.0458849964196768	1.8085651214128	AT1G01520,AT1G06570,AT1G21410,AT1G48100,AT1G64780,AT1G64900,AT1G75810,AT1G79270,AT2G27420,AT2G31750,AT2G41870,AT3G24190,AT3G27170,AT4G13010,AT4G27657,AT4G34000,AT5G06980,AT5G24850,AT5G47560,AT5G52570,AT5G53970,AT5G54300
AT2G36270	AT5G47370	0.928447345493037	0.973246331109274	0.584156862745098	AT1G79270,AT2G31750,AT5G47560,AT5G53970
AT2G22430	AT2G36270	0.0161955131768129	0.145759618591316	1.54290018832392	AT1G06570,AT1G21410,AT1G48100,AT1G64780,AT1G64900,AT1G79270,AT2G24540,AT2G27420,AT2G31750,AT2G41870,AT3G16910,AT3G24190,AT3G27170,AT4G13010,AT4G27657,AT4G33660,AT4G34000,AT5G06980,AT5G47560,AT5G52570,AT5G53970,AT5G54300
AT1G01720	AT2G36270	0.0618034029566929	0.341776959753578	1.52444444444444	AT1G06570,AT1G64780,AT1G79270,AT2G31750,AT3G16910,AT3G24190,AT3G27170,AT4G27657,AT4G33660,AT5G06980,AT5G47560,AT5G52570,AT5G53970,AT5G54300
AT2G18550	AT2G22540	0.754706850322241	0.973246331109274	0.827555555555555	AT1G32520,AT1G64780,AT3G50560,AT4G33660,AT4G36530,AT5G47560
AT2G22540	AT5G67060	0.146038730575986	0.533051542752011	1.32056737588652	AT1G01520,AT1G06040,AT1G10740,AT1G64780,AT1G79520,AT2G41250,AT3G21670,AT3G22840,AT3G50560,AT4G34000,AT5G06980,AT5G11650,AT5G47560,AT5G52570,AT5G53970
AT2G22430	AT2G22540	0.0440569309571613	0.319392782846804	1.44341085271318	AT1G06040,AT1G10740,AT1G32520,AT1G64780,AT1G79520,AT2G41250,AT3G16910,AT3G17800,AT3G21670,AT3G22840,AT4G16690,AT4G33660,AT4G34000,AT4G36530,AT5G03555,AT5G06980,AT5G11650,AT5G47560,AT5G52570,AT5G53970
AT2G18550	AT2G22430	0.518912004185319	0.973246331109274	1.01748633879781	AT1G32520,AT1G64780,AT1G70000,AT1G79270,AT2G19650,AT2G27420,AT2G31750,AT3G19380,AT3G27170,AT4G27657,AT4G33660,AT4G36530,AT5G06280,AT5G47560,AT5G54300
AT2G18550	AT5G47370	0.881151285042145	0.973246331109274	0.718126721763085	AT1G79270,AT2G31750,AT3G19380,AT3G50560,AT4G36530,AT5G23730,AT5G47560
