cluster	p-value	fdr	enrichment	Intersection Genes
1	0.154877378618299	0.232316067927449	1.75858290723156	AT1G21780,AT1G72060,AT3G01170,AT3G14595,AT3G62770
2	0.897170617737714	0.897170617737714	0.448741845293569	AT4G23400
3	0.247860589190922	0.318677900388328	1.57739557739558	AT1G09250,AT1G17700,AT1G29490,AT5G57760
4	0.301487954209106	0.339173948485244	1.56162162162162	AT1G16730,AT2G24540,AT3G01210
5	0.000416346574473773	0.000749423834052791	4.39893414541302	AT1G22885,AT3G12500,AT3G14595,AT3G20510,AT4G22160,AT4G23400,AT4G35350,AT5G18970
6	1.34503965561308e-06	3.02633922512943e-06	4.67151767151767	AT1G09140,AT1G14200,AT1G53540,AT1G72800,AT2G19310,AT2G46610,AT3G48020,AT4G17550,AT4G27350,AT4G37370,AT5G10695,AT5G17780,AT5G47420,AT5G51440
7	3.00996891792202e-47	2.70897202612982e-46	13.8268581081081	AT1G01080,AT1G04420,AT1G18485,AT1G20020,AT1G48350,AT1G55490,AT1G63610,AT1G64510,AT1G69200,AT1G75350,AT2G02500,AT2G03420,AT2G21385,AT2G24060,AT2G33450,AT2G36990,AT2G44650,AT3G02450,AT3G04260,AT3G08740,AT3G09050,AT3G14330,AT3G16000,AT3G18110,AT3G18680,AT3G28760,AT3G44890,AT3G47450,AT3G47650,AT3G53130,AT3G54090,AT3G55330,AT3G57180,AT3G62910,AT3G63160,AT4G03150,AT4G04350,AT4G15510,AT4G18480,AT4G20130,AT4G24090,AT4G33470,AT4G34830,AT4G39620,AT5G02710,AT5G14320,AT5G38290,AT5G44650,AT5G47190,AT5G49030,AT5G64580
8	1.51304124968354e-40	6.80868562357593e-40	11.3868243243243	AT1G01370,AT1G03780,AT1G05440,AT1G07370,AT1G08560,AT1G10780,AT1G21740,AT1G23410,AT1G44900,AT1G47210,AT1G51060,AT1G55200,AT1G67180,AT1G67630,AT1G76310,AT1G78430,AT1G80370,AT2G16270,AT2G24490,AT2G29570,AT2G31270,AT2G33560,AT2G38810,AT3G03130,AT3G14190,AT3G14740,AT3G51280,AT3G52170,AT3G53650,AT3G56870,AT4G05190,AT4G15830,AT4G28310,AT4G29170,AT4G37210,AT4G37490,AT5G01910,AT5G10400,AT5G23910,AT5G25090,AT5G43080,AT5G44560,AT5G52950,AT5G55820,AT5G56580,AT5G65350,AT5G66230,AT5G67100,AT5G67270
9	1.38058662558717e-07	4.14175987676151e-07	5.18237263812485	AT1G06550,AT1G24030,AT1G74000,AT1G74210,AT2G44450,AT3G06035,AT3G09540,AT4G27860,AT4G39320,AT4G39510,AT5G08030,AT5G08640,AT5G17220,AT5G42800,AT5G47730
