master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	1.05754366393843e-16	2.56250964723543e-16	10.7283819628647	AT1G08510,AT1G12240,AT1G22640,AT1G64660,AT1G70940,AT1G71030,AT1G76490,AT2G15320,AT2G43060,AT2G43710,AT2G44130,AT3G55960,AT3G61460,AT4G01330,AT4G10310,AT4G30270,AT5G01520,AT5G05690,AT5G14780,AT5G48150,AT5G63800
AT1G27730	AT3G60490	4.28578897208546e-12	7.10538698003642e-12	7.96965517241379	AT1G06570,AT1G08510,AT1G70940,AT1G76490,AT2G44130,AT3G16850,AT3G29240,AT3G45600,AT3G55960,AT3G59940,AT3G61260,AT4G01330,AT4G14930,AT4G30270,AT5G05690,AT5G57340,AT5G60850,AT5G63800
AT1G27730	AT5G53210	6.52093752880984e-13	1.110321795446e-12	7.54702194357367	AT1G06570,AT1G08510,AT1G23390,AT1G53560,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G21970,AT3G29240,AT3G49220,AT3G55960,AT3G61260,AT4G14930,AT5G05690,AT5G20700,AT5G23870,AT5G47560,AT5G49360,AT5G63800
AT5G47370	AT5G53210	4.89877784361091e-16	1.06421725568099e-15	11.9043591411841	AT1G06040,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G15580,AT2G43060,AT3G21260,AT3G49220,AT3G55960,AT4G05150,AT4G38690,AT5G01520,AT5G05690,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G63800
AT5G53210	AT5G66700	4.82807547293778e-19	1.5208437739754e-18	11.5721003134796	AT1G22640,AT1G23390,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G15580,AT2G22430,AT2G40970,AT2G43060,AT3G21260,AT4G05150,AT4G14930,AT4G38690,AT5G05690,AT5G14780,AT5G15410,AT5G20700,AT5G23870,AT5G47560,AT5G48150,AT5G49360,AT5G63800
AT1G69490	AT5G39610	2.03477784198768e-11	3.2047751011306e-11	14.2315270935961	AT1G12240,AT1G53560,AT1G64660,AT2G01570,AT2G13360,AT3G11660,AT3G13720,AT3G61460,AT4G30270,AT5G01520,AT5G60850,AT5G63800
AT5G39610	AT5G60850	1.48340665383968e-07	2.07676931537555e-07	12.6502463054187	AT1G12240,AT1G23390,AT1G53560,AT1G64660,AT3G61460,AT4G30270,AT5G01520,AT5G63800
AT1G01720	AT5G04340	0.0134115936084672	0.0145677654712661	11.0689655172414	AT1G64660,AT5G01520
AT4G31800	AT4G36740	1.30523899264776e-50	2.05575141342022e-49	9.98703655690952	AT1G01620,AT1G12240,AT1G22640,AT1G23390,AT1G52880,AT1G56220,AT1G70940,AT1G71030,AT1G71970,AT1G80180,AT2G01570,AT2G10940,AT2G15320,AT2G15580,AT2G21185,AT2G22430,AT2G22540,AT2G31110,AT2G39010,AT2G40970,AT2G42620,AT2G43060,AT2G43710,AT3G11660,AT3G11690,AT3G13062,AT3G14067,AT3G16850,AT3G17100,AT3G21260,AT3G29240,AT3G45600,AT3G49220,AT3G52060,AT3G53420,AT3G55960,AT3G59940,AT3G61460,AT3G62650,AT4G01330,AT4G05150,AT4G13830,AT4G14930,AT4G17340,AT4G27990,AT4G38690,AT5G01520,AT5G02230,AT5G05690,AT5G10770,AT5G14780,AT5G15410,AT5G20700,AT5G23870,AT5G47560,AT5G48150,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT4G36740	AT5G47370	9.95579728687864e-29	1.04535871512226e-27	10.5325839283002	AT1G12240,AT1G52880,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G10940,AT2G15320,AT2G15580,AT2G31110,AT2G42620,AT2G43060,AT2G43710,AT3G11690,AT3G16850,AT3G21260,AT3G45600,AT3G49220,AT3G53420,AT3G55960,AT3G62650,AT4G05150,AT4G10310,AT4G13830,AT4G17030,AT4G38690,AT5G01520,AT5G02230,AT5G05690,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G63800
AT1G52880	AT4G36740	3.03728137119912e-19	1.00709855992392e-18	10.9173358526216	AT1G12240,AT1G22640,AT1G71030,AT1G71970,AT1G76490,AT2G01570,AT2G43060,AT2G43710,AT3G11660,AT3G16850,AT3G26520,AT3G49220,AT3G61460,AT3G62650,AT4G10310,AT4G17030,AT4G30270,AT5G01520,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT1G69490	AT4G36740	2.01682108277367e-16	4.53784743624076e-16	10.408131755018	AT1G12240,AT1G22640,AT1G71030,AT1G71970,AT2G01570,AT2G43060,AT2G43710,AT3G11660,AT3G14067,AT3G26520,AT3G49220,AT3G61460,AT3G62650,AT4G10310,AT4G17030,AT4G30270,AT5G01520,AT5G47560,AT5G49360,AT5G60850,AT5G63800
