master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	2.07878888884113e-30	4.36545666656637e-29	13.373179033356	AT1G19640,AT1G19940,AT1G33260,AT1G74000,AT2G01830,AT2G38760,AT2G40150,AT2G44450,AT2G46650,AT3G01810,AT3G02250,AT3G05910,AT3G07320,AT3G14350,AT3G16340,AT3G21190,AT3G27400,AT3G48350,AT3G59760,AT3G61380,AT4G04610,AT4G10390,AT4G15210,AT4G22570,AT4G29690,AT4G34160,AT5G01840,AT5G08640,AT5G13930,AT5G15470,AT5G52320,AT5G54160,AT5G58670,AT5G61570
AT1G27730	AT3G60490	8.2506557165752e-27	1.03958262028848e-25	11.249203539823	AT1G06640,AT1G16530,AT1G19640,AT1G19940,AT1G20490,AT1G52400,AT1G58270,AT2G28250,AT2G37040,AT2G37260,AT2G39220,AT2G40150,AT3G01810,AT3G02250,AT3G05910,AT3G06035,AT3G14350,AT3G21190,AT3G48350,AT3G59760,AT3G61380,AT4G04610,AT4G10390,AT4G15210,AT4G17470,AT4G29690,AT4G30530,AT4G31800,AT4G34160,AT4G37410,AT5G01840,AT5G13930,AT5G24760
AT1G27730	AT5G53210	5.82701025208925e-09	1.59609411252879e-08	5.22948511665326	AT1G06640,AT1G19050,AT1G20490,AT1G26570,AT1G49430,AT1G58270,AT1G76790,AT2G01910,AT2G29510,AT2G39220,AT2G40150,AT3G01810,AT3G05910,AT3G48350,AT3G52870,AT3G61380,AT4G15210,AT4G30530
AT5G47370	AT5G53210	1.22039099595178e-11	4.52262545558601e-11	8.200534312907	AT1G06640,AT1G20490,AT1G31710,AT1G49430,AT1G58270,AT2G01830,AT2G01910,AT3G18170,AT3G26700,AT3G27400,AT4G29700,AT4G30530,AT4G36640,AT5G37770,AT5G52320,AT5G54160,AT5G65020
AT5G53210	AT5G66700	4.94144019059486e-12	1.94569207504673e-11	7.36001609010459	AT1G31710,AT1G49430,AT1G58270,AT1G59970,AT1G76790,AT2G01830,AT2G01910,AT2G40150,AT2G44230,AT3G01810,AT3G18170,AT3G48350,AT4G22570,AT4G29700,AT4G30530,AT5G52320,AT5G54160,AT5G55180,AT5G65020
AT1G69490	AT5G39610	9.54831853919403e-05	0.000158301070518217	6.39159292035398	AT1G01120,AT1G58270,AT4G17470,AT4G27860,AT4G39940,AT5G52320,AT5G61570
AT5G39610	AT5G60850	1.39189379853342e-05	2.57909733257663e-05	8.52212389380531	AT3G16340,AT4G21760,AT4G39940,AT5G13930,AT5G52320,AT5G58670,AT5G61570
AT1G01720	AT5G04340	1	1	0	
AT4G31800	AT4G36740	2.14031627625875e-38	1.34839925404301e-36	7.43282986226628	AT1G01120,AT1G03457,AT1G11580,AT1G16530,AT1G19050,AT1G19640,AT1G19940,AT1G26570,AT1G31710,AT1G52400,AT1G58270,AT1G76790,AT2G01830,AT2G01910,AT2G22930,AT2G37040,AT2G37260,AT2G39220,AT2G39420,AT2G40150,AT2G46650,AT3G01810,AT3G02250,AT3G06020,AT3G07320,AT3G14350,AT3G16340,AT3G26700,AT3G27400,AT3G48350,AT3G52870,AT3G54990,AT4G04610,AT4G10390,AT4G13410,AT4G15210,AT4G21760,AT4G22570,AT4G29690,AT4G29700,AT4G30530,AT4G36640,AT4G39940,AT5G01840,AT5G07460,AT5G09870,AT5G15470,AT5G19260,AT5G23820,AT5G38020,AT5G48850,AT5G48880,AT5G52320,AT5G53760,AT5G54160,AT5G55180,AT5G61570,AT5G65020
AT4G36740	AT5G47370	4.74851317235406e-24	4.27366185511865e-23	8.10915753771783	AT1G01120,AT1G17190,AT1G19940,AT1G20490,AT1G31710,AT1G49430,AT1G52400,AT1G58270,AT2G01830,AT2G01910,AT2G04032,AT2G22930,AT2G37040,AT2G37260,AT3G02250,AT3G06020,AT3G18170,AT3G26700,AT3G27400,AT3G54990,AT4G04610,AT4G10390,AT4G29700,AT4G30530,AT4G36640,AT4G37410,AT4G39940,AT5G01840,AT5G15470,AT5G19110,AT5G24760,AT5G37770,AT5G38020,AT5G52320,AT5G54160,AT5G65020
