master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT2G36270	AT4G36740	1.28969450886361e-22	4.77945612108279e-22	10.4478114478114	AT1G04610,AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G75590,AT1G76240,AT2G17880,AT2G18010,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G16850,AT3G49220,AT3G50340,AT4G12730,AT4G27260,AT4G28720,AT4G32890,AT5G02550,AT5G12940,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240,AT5G66590,AT5G67060
AT2G18550	AT4G14770	7.46284133713864e-09	1.06854319145394e-08	10.03125	AT1G04610,AT1G06080,AT1G70940,AT3G08030,AT4G22190,AT4G27260,AT4G30410,AT5G25190,AT5G51670,AT5G54510,AT5G57340
AT1G27730	AT4G14770	1.97825180510525e-10	3.11574659304077e-10	8.2590051457976	AT1G04610,AT1G06080,AT1G44830,AT1G70940,AT2G40610,AT3G08030,AT4G23820,AT4G27260,AT4G35720,AT4G37890,AT5G22940,AT5G25190,AT5G51670,AT5G54510,AT5G57340
AT4G04890	AT4G31800	1.75895660862406e-07	2.40900579007208e-07	8.58288770053476	AT1G04250,AT2G38120,AT3G08030,AT3G08670,AT3G60550,AT4G28720,AT4G32890,AT5G14690,AT5G54510,AT5G64330
AT2G18550	AT4G04890	2.27862329961959e-06	2.92965852808233e-06	14.5909090909091	AT1G04250,AT2G38120,AT3G08030,AT3G60550,AT4G28720,AT5G54510
AT2G36270	AT5G67060	2.6024374266673e-16	6.07235399555703e-16	8.8898254063817	AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G75590,AT3G08030,AT3G08670,AT3G13720,AT3G16850,AT3G49220,AT3G50340,AT4G12730,AT4G25260,AT4G27260,AT4G28720,AT4G32890,AT4G35720,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240,AT5G66590
AT2G36270	AT5G47370	1.03055778309107e-10	1.66474718807019e-10	9.61283422459893	AT1G04610,AT1G06980,AT1G53180,AT1G53700,AT1G75590,AT2G18010,AT3G08030,AT3G16850,AT3G49220,AT4G27260,AT4G28720,AT4G32890,AT5G12940,AT5G22940
AT2G22430	AT2G36270	6.8197141343603e-17	1.86800865419434e-16	8.24345146379045	AT1G06980,AT1G22330,AT1G53180,AT1G53700,AT1G76240,AT2G17880,AT2G18010,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G13720,AT3G49220,AT3G50340,AT4G12730,AT4G25260,AT4G27260,AT4G28720,AT4G35720,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G66590,AT5G67060
AT1G01720	AT2G36270	5.25704802257901e-11	8.71563224795994e-11	8.19138755980861	AT1G53700,AT1G76240,AT2G37640,AT2G45400,AT3G08030,AT3G08670,AT3G13720,AT3G49220,AT4G28720,AT4G32890,AT5G12940,AT5G22940,AT5G47370,AT5G51670,AT5G54510,AT5G57240
AT2G18550	AT2G22540	1.21820072316167e-12	2.19276130169101e-12	10.3757575757576	AT1G04610,AT1G06080,AT1G70940,AT1G75590,AT1G79700,AT2G37640,AT2G38120,AT3G08030,AT3G44610,AT4G28720,AT4G30410,AT4G38860,AT5G23210,AT5G51670,AT5G54510,AT5G57340
AT2G22540	AT5G67060	9.04373084576246e-26	5.17959130257305e-25	12.4177949709865	AT1G06080,AT1G06850,AT1G06980,AT1G08510,AT1G35430,AT1G53180,AT1G70940,AT1G73830,AT1G75590,AT1G79700,AT2G38120,AT2G40610,AT3G08030,AT3G08670,AT3G44610,AT3G58120,AT3G61460,AT4G14550,AT4G20870,AT4G28720,AT4G30410,AT4G32890,AT4G38860,AT5G02760,AT5G11420,AT5G22940,AT5G23210,AT5G51670,AT5G54510,AT5G57340
AT2G22430	AT2G22540	1.20625131241564e-20	3.99967540432554e-20	9.50105708245243	AT1G06980,AT1G08510,AT1G35430,AT1G44830,AT1G53180,AT1G62770,AT1G70940,AT1G73830,AT2G18010,AT2G37640,AT2G38120,AT2G40610,AT3G08030,AT3G08670,AT3G44610,AT3G58120,AT4G14550,AT4G28720,AT4G30410,AT4G38860,AT5G02760,AT5G11420,AT5G22940,AT5G23210,AT5G49170,AT5G51670,AT5G54510,AT5G67060
AT2G18550	AT2G22430	1.88644863817495e-23	9.14202032346322e-23	9.88673621460507	AT1G01620,AT1G04250,AT1G22330,AT1G23030,AT1G27670,AT1G53700,AT1G64640,AT1G70940,AT1G75780,AT2G14890,AT2G17880,AT2G37640,AT2G38120,AT2G42380,AT3G08030,AT3G19380,AT3G44610,AT3G50340,AT3G60550,AT4G27260,AT4G28720,AT4G30410,AT4G34770,AT4G38860,AT5G23210,AT5G25190,AT5G47370,AT5G49800,AT5G51670,AT5G54510,AT5G66590
AT2G18550	AT5G47370	8.1583978734492e-20	2.5698953301365e-19	11.5762584522915	AT1G04250,AT1G04610,AT1G23030,AT1G27670,AT1G53700,AT1G70940,AT1G75590,AT1G75780,AT1G79700,AT2G06850,AT2G14890,AT2G38120,AT2G42380,AT3G08030,AT3G16850,AT3G19380,AT3G60550,AT4G22190,AT4G27260,AT4G28720,AT4G30410,AT4G38860,AT5G23210,AT5G57340
AT1G69490	AT2G18550	1.04793375295442e-08	1.46710725413619e-08	9.72727272727273	AT1G06080,AT1G23030,AT1G53700,AT1G75590,AT2G37640,AT3G08030,AT4G28720,AT4G38860,AT5G23210,AT5G25190,AT5G51670
AT1G52880	AT5G66700	3.4601571017516e-12	6.0552749280653e-12	9.72727272727273	AT1G23030,AT1G27670,AT1G53700,AT1G75590,AT2G37640,AT3G02170,AT3G06770,AT3G08030,AT3G16850,AT4G14550,AT4G27260,AT4G28720,AT4G38860,AT5G23210,AT5G51670,AT5G57340
AT1G52880	AT5G60850	1.16634711117097e-16	3.0616611668238e-16	11.6727272727273	AT1G08510,AT1G27670,AT1G44830,AT1G53180,AT1G75590,AT3G02170,AT3G06770,AT3G08030,AT3G08670,AT3G49220,AT3G61460,AT4G14550,AT4G27260,AT4G28720,AT4G32890,AT4G38860,AT5G22940,AT5G51670,AT5G57240,AT5G64330
AT1G44830	AT5G60850	6.57617959056048e-07	8.63123571261063e-07	13.1788856304985	AT1G36940,AT2G06850,AT2G38120,AT3G19380,AT3G49220,AT4G12730,AT4G32890
