master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	0.00654094860595732	0.00840979106480227	3.55569230769231	AT1G70000,AT2G19650,AT2G21320,AT4G15550,AT5G23730,AT5G54300
AT1G27730	AT3G60490	3.85515473008853e-07	1.01197811664824e-06	6.1632	AT1G06570,AT1G64780,AT2G19650,AT2G21320,AT2G29090,AT2G41870,AT3G24190,AT4G17840,AT4G27030,AT4G33660,AT5G23730,AT5G54300
AT1G27730	AT5G53210	9.61698669887484e-18	6.73189068921239e-17	10.0677272727273	AT1G01520,AT1G06570,AT1G64780,AT1G65490,AT1G75810,AT1G79520,AT2G19650,AT2G21970,AT2G27420,AT2G37970,AT2G41250,AT2G41870,AT3G19380,AT3G24190,AT4G13010,AT4G17840,AT4G27030,AT4G27657,AT4G34000,AT5G47560,AT5G47610,AT5G54300,AT5G59400
AT5G47370	AT5G53210	0.00238934256176089	0.00320273577427524	4.36075471698113	AT1G06040,AT2G37970,AT3G19380,AT3G22840,AT4G15550,AT5G47560
AT5G53210	AT5G66700	6.46157026967039e-06	1.40372043789391e-05	5.83636363636364	AT1G10740,AT1G48100,AT1G64780,AT1G70000,AT2G27420,AT3G19380,AT3G22840,AT4G15550,AT4G27657,AT5G47560
AT1G69490	AT5G39610	0.00577694495919545	0.00758224025894403	5.50285714285714	AT4G15550,AT4G28740,AT5G53970,AT5G54300
AT5G39610	AT5G60850	0.102706637116825	0.113517862076491	3.66857142857143	AT4G15550,AT5G54300
AT1G01720	AT5G04340	0.000424897461340228	0.000686372822164984	19.26	AT1G79270,AT2G29090,AT2G31750
AT4G31800	AT4G36740	2.15541085919248e-18	2.2631814021521e-17	6.17864661654135	AT1G10740,AT1G48100,AT1G55910,AT1G59700,AT1G64780,AT1G64900,AT1G65490,AT1G70000,AT1G70985,AT1G75810,AT1G79270,AT2G19650,AT2G21185,AT2G25680,AT2G27420,AT2G29090,AT2G31750,AT2G36630,AT2G41870,AT3G19380,AT3G21670,AT3G22840,AT3G24190,AT3G27170,AT3G50560,AT3G56290,AT4G13010,AT4G15550,AT4G27657,AT5G23730,AT5G47560,AT5G54300
AT4G36740	AT5G47370	5.47243771848263e-06	1.23129848665859e-05	4.41198237885463	AT1G59700,AT1G66540,AT1G79270,AT2G29090,AT2G31750,AT3G19380,AT3G21670,AT3G22840,AT3G50560,AT4G15550,AT4G36530,AT5G23730,AT5G47560
AT1G52880	AT4G36740	3.30360943704781e-08	9.46033611518236e-08	6.85972602739726	AT1G10740,AT1G55910,AT1G64780,AT1G64900,AT1G70000,AT2G27420,AT2G29090,AT2G31750,AT4G15550,AT4G36530,AT5G23730,AT5G47560,AT5G54300
AT1G69490	AT4G36740	1.16323774483313e-08	3.48971323449939e-08	7.47402985074627	AT1G10740,AT1G64780,AT1G64900,AT2G27420,AT2G31750,AT3G21670,AT3G50560,AT4G15550,AT4G28740,AT4G36530,AT5G23730,AT5G47560,AT5G54300
AT4G04890	AT4G36740	0.0498112246371838	0.0581130954100478	3.61125	AT2G29090,AT2G36630,AT5G47560
