master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	3.976914606911e-07	7.82955063235603e-07	6.88602383531961	AT2G19580,AT2G19760,AT2G34140,AT2G35150,AT2G38530,AT3G14280,AT3G43430,AT3G49780,AT4G30270,AT5G64100,AT5G67600
AT1G27730	AT3G60490	2.06606388730555e-07	4.19877499678225e-07	6.51042253521127	AT1G07090,AT2G19580,AT2G34140,AT2G35150,AT2G38530,AT3G14280,AT3G49780,AT4G30270,AT5G01740,AT5G09440,AT5G37540,AT5G56540
AT1G27730	AT5G53210	1.17243358643564e-06	2.17245046898369e-06	5.54865556978233	AT1G07090,AT1G07750,AT1G49660,AT1G69850,AT2G19580,AT2G22850,AT2G24040,AT2G38530,AT2G41410,AT2G45210,AT4G15800,AT5G03460
AT5G47370	AT5G53210	0.00180279904450656	0.00246905086530246	4.60643103906458	AT1G07090,AT1G61667,AT1G71960,AT2G04795,AT2G37750,AT3G05490
AT5G53210	AT5G66700	4.97165559649391e-08	1.16005297251525e-07	7.39820742637644	AT1G07090,AT1G07750,AT1G61667,AT1G69850,AT1G71960,AT2G24040,AT2G28110,AT2G38530,AT2G45210,AT3G02910,AT3G03270,AT4G15800
AT1G69490	AT5G39610	1.81662569550867e-08	4.57789675268185e-08	13.0789738430583	AT1G23040,AT2G19570,AT2G26170,AT2G37750,AT3G13720,AT3G21710,AT4G15800,AT4G30270,AT5G38610
AT5G39610	AT5G60850	0.0016475104434881	0.0023589354077216	7.75050301810865	AT1G22885,AT2G37750,AT3G21710,AT4G30270
AT1G01720	AT5G04340	0.138010012098152	0.147366623087857	6.78169014084507	AT1G14730
AT4G31800	AT4G36740	8.49908856478955e-24	1.78480859860581e-22	7.34258180662925	AT1G07090,AT1G10140,AT1G14730,AT1G14890,AT1G49660,AT1G52140,AT1G61667,AT1G69850,AT1G71960,AT2G22850,AT2G26170,AT2G28110,AT2G34140,AT2G40900,AT2G45210,AT2G46600,AT3G02910,AT3G03270,AT3G05490,AT3G10985,AT3G14280,AT3G18560,AT3G21710,AT3G43430,AT3G49780,AT4G15800,AT4G23410,AT5G01740,AT5G09440,AT5G10770,AT5G11090,AT5G37540,AT5G38610,AT5G59845,AT5G64100,AT5G67600
AT4G36740	AT5G47370	5.68421271521315e-17	3.58105401058428e-16	8.60408264565366	AT1G07090,AT1G10140,AT1G14730,AT1G14890,AT1G30130,AT1G52140,AT1G61667,AT1G71960,AT2G04795,AT2G40900,AT3G05490,AT3G10985,AT3G21710,AT3G43430,AT3G49780,AT3G60490,AT4G14130,AT4G38080,AT5G01740,AT5G18690,AT5G37540,AT5G56540,AT5G59845,AT5G64100
AT1G52880	AT4G36740	6.09132309592058e-14	2.25737267672351e-13	10.033185413853	AT1G14730,AT1G14890,AT1G52140,AT1G61667,AT1G69850,AT1G71960,AT2G26170,AT2G45210,AT3G02910,AT3G03270,AT3G18560,AT3G21710,AT4G15800,AT4G30270,AT5G01740,AT5G09440,AT5G11090,AT5G37540
AT1G69490	AT4G36740	2.09205358645586e-13	6.93680926035364e-13	10.3243640950179	AT1G14730,AT1G14890,AT1G61667,AT1G69850,AT2G26170,AT2G45210,AT3G02910,AT3G03270,AT3G18560,AT3G21710,AT4G15800,AT4G30270,AT5G01740,AT5G09440,AT5G11090,AT5G37540,AT5G38610
AT4G04890	AT4G36740	1.11505306557371e-05	1.95134286475399e-05	8.90096830985915	AT1G14730,AT3G49780,AT3G60490,AT5G01740,AT5G10770,AT5G11090,AT5G67600
AT1G27730	AT4G36740	4.86176593693201e-22	6.12582508053433e-21	9.00888727197131	AT1G07090,AT1G07750,AT1G10140,AT1G14890,AT1G49660,AT1G69850,AT2G22850,AT2G24040,AT2G32300,AT2G34140,AT2G35150,AT2G38530,AT2G40900,AT2G45210,AT3G10985,AT3G14280,AT3G49780,AT3G60490,AT4G14130,AT4G15800,AT4G23410,AT4G30270,AT4G38080,AT5G01740,AT5G09440,AT5G10770,AT5G11090,AT5G18690,AT5G37540,AT5G56540
