regulators	output
HEC1,NAC002	AT5G66700,AT1G01120,AT5G66080,AT5G65380,AT2G36080,AT5G64330,AT2G35950,AT2G36270,AT2G33830,AT5G63800,AT2G38120,AT2G32500,AT2G38400,AT2G39220,AT5G61570,AT2G31750,AT5G60850,AT2G40610,AT1G05100,AT5G58650,AT5G57900,AT5G57660,AT5G57240,AT1G06080,AT2G41010,AT2G30140,AT2G41760,AT5G57170,AT1G06570,AT2G42900,AT2G43060,AT5G55180,AT5G54670,AT2G29090,AT1G07430,AT2G45210,AT1G08510,AT5G54510,AT1G08630,AT5G54300,AT2G28110,AT5G53970,AT2G27830,AT2G47240,AT1G09530,AT5G52570,AT1G10740,AT5G52520,AT3G03270,AT5G51670,AT3G04000,AT3G04760,AT2G26170,AT5G51210,AT2G25900,AT1G14730,AT5G50335,AT1G14890,AT3G05490,AT5G49360,AT1G15670,AT3G06760,AT3G06770,AT3G08030,AT5G48150,AT5G47610,AT3G08670,AT5G47560,AT3G11660,AT2G22430,AT5G47370,AT3G13720,AT3G14067,AT5G44260,AT5G43450,AT3G15770,AT3G18170,AT5G39610,AT2G18700,AT5G37540,AT3G18550,AT5G27320,AT5G25350,AT5G25190,AT1G22190,AT5G23940,AT1G22640,AT5G23730,AT3G19590,AT5G23210,AT3G21260,AT1G23030,AT1G23040,AT5G22940,AT1G23390,AT3G21710,AT2G16660,AT5G20700,AT5G19860,AT1G25560,AT3G24190,AT1G26800,AT3G26510,AT2G13360,AT3G27170,AT5G18490,AT5G18130,AT3G29575,AT3G44610,AT3G48580,AT5G15410,AT2G02710,AT3G49220,AT5G14690,AT2G01570,AT3G53190,AT1G33055,AT5G13330,AT1G79270,AT3G58120,AT3G59940,AT5G11090,AT5G09440,AT3G60490,AT3G61260,AT5G06980,AT3G61380,AT3G61460,AT1G76490,AT3G61610,AT3G63190,AT5G05860,AT4G01870,AT4G10390,AT5G05410,AT4G11360,AT5G04760,AT5G04340,AT5G03870,AT4G11660,AT1G73480,AT5G01820,AT5G01520,AT4G13180,AT4G14010,AT4G39040,AT4G38860,AT4G14150,AT1G53560,AT1G53700,AT4G14550,AT1G71970,AT4G14690,AT4G15550,AT1G71030,AT4G34770,AT1G58270,AT1G70985,AT1G70200,AT4G32890,AT4G17245,AT1G69480,AT4G30530,AT1G69260,AT4G17840,AT4G20870,AT1G68620,AT1G63680,AT1G64500,AT4G27657,AT4G28040,AT1G64660,AT1G64780,AT4G30270,AT4G28720
MYB3,NAC002	AT1G69260,AT1G71970,AT5G66080,AT3G29575,AT2G37470,AT3G58120,AT5G54080,AT1G03630,AT2G33830,AT5G62480,AT2G36080,AT1G04250,AT1G20490,AT5G58770,AT5G16715,AT2G31750,AT2G45400,AT3G49780,AT1G05100,AT5G52320,AT5G63800,AT5G50360,AT1G17140,AT5G03555,AT3G09540,AT4G33660,AT2G38120,AT3G12500,AT3G16910,AT4G24750,AT4G26660,AT5G61570,AT3G18560,AT3G19580,AT1G23000,AT5G22880,AT4G34770,AT2G16440,AT4G39040,AT5G01520,AT5G04340,AT5G53970,AT1G76490,AT5G06980,AT5G09440,AT3G59940,AT1G27670,AT3G49220,AT5G15410,AT3G27160,AT2G14750,AT3G44610,AT3G27170,AT5G17850,AT3G27360,AT5G60850,AT5G14780,AT5G22940,AT3G05490,AT2G40610,AT5G13930,AT5G58650,AT3G06770,AT5G57900,AT5G37540,AT3G57010,AT5G47560,AT5G57660,AT5G07000,AT5G47370,AT3G13720,AT3G14067,AT5G44260,AT5G06760,AT3G15770,AT3G18170,AT5G39610,AT3G08670,AT5G47610,AT5G48150,AT5G27320,AT5G25350,AT5G05740,AT1G76240,AT5G23940,AT4G02280,AT4G05020,AT3G06760,AT5G23210,AT3G21260,AT1G23030,AT1G23040,AT2G41010,AT1G23390,AT3G21710,AT2G16660,AT5G20700,AT5G01840,AT4G39940,AT4G37890,AT1G26800,AT3G26510,AT2G30140,AT4G15800,AT1G06570,AT5G18130,AT5G65380,AT2G26170,AT4G30390,AT2G42900,AT2G43060,AT3G03270,AT5G14690,AT2G01570,AT2G29090,AT4G27860,AT5G13330,AT1G79270,AT1G07430,AT2G45210,AT1G64660,AT5G52570,AT4G28040,AT3G61260,AT5G61810,AT3G61380,AT4G27657,AT2G47240,AT3G61610,AT3G63190,AT5G05860,AT4G01870,AT1G63680,AT1G68620,AT4G11360,AT5G04760,AT2G27830,AT4G30530,AT1G69480,AT1G73480,AT5G01820,AT2G28110,AT4G32890,AT4G14010,AT5G54300,AT1G70200,AT1G08510,AT1G53560,AT1G58270,AT4G14550,AT1G01120,AT1G71030,AT4G15550
ZAT10,NAC002	AT5G64230,AT5G64580,AT1G71970,AT1G02470,AT5G25190,AT2G37470,AT2G37640,AT5G54080,AT2G33450,AT3G17170,AT2G32300,AT1G22910,AT1G04250,AT1G20490,AT1G31800,AT5G16715,AT1G06190,AT1G06420,AT3G49780,AT1G05100,AT2G35950,AT5G63800,AT1G06640,AT1G17140,AT1G07370,AT1G07750,AT4G33660,AT2G38120,AT5G52950,AT2G27580,AT4G24750,AT4G26660,AT1G35680,AT5G51545,AT4G11175,AT1G23000,AT5G48600,AT4G34770,AT1G16530,AT4G36740,AT1G17650,AT5G04340,AT3G08740,AT1G76490,AT2G41760,AT5G09440,AT3G59940,AT1G27670,AT3G49220,AT3G12050,AT3G27160,AT2G14750,AT3G44610,AT3G27170,AT4G30620,AT3G27360,AT5G60850,AT2G21790,AT5G22940,AT1G18485,AT2G40610,AT5G13930,AT5G58650,AT1G19850,AT3G14280,AT5G37540,AT2G32500,AT5G47560,AT5G57660,AT2G39220,AT5G28640,AT2G18550,AT4G30270,AT1G64780,AT1G70985,AT3G15770,AT5G54510,AT1G26570,AT3G08670,AT5G47610,AT5G64330,AT5G27320,AT5G25350,AT5G05740,AT3G23890,AT5G23940,AT4G02280,AT4G05020,AT5G51670,AT5G23210,AT3G48580,AT5G51210,AT5G50335,AT2G41010,AT1G23390,AT3G48020,AT3G19590,AT5G20700,AT5G01840,AT4G39940,AT4G37890,AT1G26800,AT1G22190,AT1G32550,AT4G15800,AT1G06570,AT5G18130,AT3G51280,AT5G12940,AT2G18700,AT2G42900,AT3G54090,AT3G11660,AT5G14690,AT2G01570,AT2G29090,AT4G27860,AT5G11890,AT1G79270,AT1G07430,AT2G45210,AT1G44110,AT2G30695,AT1G48000,AT3G61260,AT3G08030,AT3G61380,AT4G27657,AT1G09530,AT3G61610,AT3G63190,AT5G57240,AT4G01870,AT1G63680,AT5G23730,AT4G04890,AT5G04760,AT2G27830,AT4G30530,AT1G69480,AT5G49360,AT5G01820,AT4G05520,AT1G06080,AT4G14010,AT5G54300,AT1G70200,AT1G08510,AT1G53560,AT1G58270,AT1G14890,AT3G24190,AT4G37040,AT1G08630,AT1G55910,AT4G36530,AT4G14150,AT1G58340,AT4G17245,AT5G57170,AT4G11660,AT5G63950,AT4G17840,AT4G31610,AT4G17030,AT4G17470,AT2G02710,AT4G10390,AT1G63100,AT3G60490,AT5G11090,AT3G53190,AT5G52520,AT1G67180,AT1G64510
ANAC032,NAC002	AT5G64230,AT4G15550,AT1G22640,AT4G28720,AT2G45400,AT3G58120,AT5G58770,AT5G50360,AT5G66080,AT1G23040,AT5G13330,AT1G64660,AT5G66700,AT2G16440,AT5G23730,AT5G11090,AT5G61570,AT3G49220,AT5G55180,AT2G37750,AT2G36080,AT4G17840,AT2G31750,AT1G07430,AT2G02710,AT3G09540,AT1G06430,AT5G55220,AT2G28400,AT3G16910,AT1G71970,AT2G45570,AT5G60850,AT5G46580,AT3G27160,AT4G11660,AT2G33830,AT4G36740,AT5G64580,AT3G14067,AT5G44260,AT5G01520,AT2G35950,AT5G09440,AT5G53970,AT5G25190,AT3G03270,AT2G38120,AT1G61890,AT2G29090,AT1G76240,AT1G53700,AT5G57900,AT3G57010,AT4G11175,AT5G01840,AT5G07000,AT2G19570,AT2G40610,AT1G76490,AT3G13720,AT1G19850,AT5G06760,AT5G37540,AT5G61810,AT5G47560,AT5G57660,AT5G39610,AT3G12500,AT2G18550,AT1G23030,AT2G36270,AT4G33660,AT1G09450,AT1G14730,AT3G21710,AT3G08670,AT5G15470,AT5G15410,AT2G27830,AT4G34770,AT5G05740,AT4G30530,AT5G23940,AT4G02280,AT4G05020,AT5G51670,AT5G23210,AT3G05490,AT2G26170,AT2G43060,AT2G41010,AT1G02470,AT5G43450,AT1G05100,AT4G28040,AT4G17245,AT5G06980,AT5G05860,AT1G26800,AT1G22190,AT1G14890,AT4G15800,AT1G58270,AT5G18130,AT4G11360,AT4G04620,AT5G04340,AT5G17850,AT5G54080,AT3G11660,AT1G31800,AT2G01570,AT5G14780,AT2G14750,AT5G05220,AT3G27170,AT5G19860,AT2G45210,AT4G30270,AT1G01120,AT1G48000,AT1G71030,AT3G27360,AT2G13360,AT5G43260,AT5G22940,AT3G17520,AT5G58650,AT5G57240,AT5G03870,AT5G05410,AT3G61460,AT5G47370,AT5G04760,AT5G52520,AT3G53190,AT1G69480,AT5G49360,AT3G14280,AT1G27670,AT3G18170,AT5G63800,AT5G48150,AT1G70200,AT1G08510,AT1G53560,AT1G06570,AT3G06760,AT1G68620,AT1G08630,AT3G21260,AT5G28640,AT1G26570,AT5G47610,AT5G27320,AT1G17140,AT2G16660,AT3G24190,AT3G26510,AT4G14010,AT2G37470,AT2G30140,AT4G30390,AT3G49780,AT1G23390,AT3G44610,AT3G48020,AT3G19590,AT2G22430,AT5G54670,AT1G33055,AT5G65380,AT1G62770,AT5G20700,AT3G04000,AT5G52570,AT4G24750,AT5G54510,AT1G22910,AT4G16690,AT1G63680,AT5G18490,AT4G20870,AT4G01870,AT3G63190,AT4G37890,AT3G61610,AT4G14690,AT1G09530,AT4G27657,AT1G32550,AT5G01370,AT3G61260,AT1G73480,AT1G79270
ATHB_6,NAC002	AT3G24190,AT1G25560,AT1G12240,AT5G01820,AT5G18490,AT2G18550,AT5G51600,AT5G12940,AT1G15670,AT5G62480,AT3G19580,AT5G47370,AT1G22190,AT4G39040,AT1G64780,AT3G06770,AT3G49220,AT3G59940,AT2G25900,AT2G37640,AT2G39220,AT4G36530,AT2G31750,AT1G23000,AT5G55180,AT3G08030,AT4G37510,AT3G48580,AT2G28400,AT5G61570,AT4G17840,AT1G64640,AT5G54300,AT4G10310,AT4G14550,AT4G11660,AT1G06190,AT4G26660,AT1G23410,AT2G38400,AT5G50335,AT4G13180,AT1G10740,AT5G09440,AT4G17030,AT5G25190,AT3G03270,AT2G38120,AT1G61890,AT1G06420,AT2G33830,AT5G19260,AT5G16715,AT1G58340,AT5G01370,AT5G11090,AT1G32550,AT4G27657,AT1G09530,AT1G76490,AT4G28720,AT1G19850,AT5G54510,AT5G20700,AT3G44610,AT5G47560,AT5G57660,AT5G39610,AT1G23390,AT2G01570,AT4G10390,AT1G64500,AT1G69610,AT1G44900,AT2G37470,AT3G21710,AT1G17140,AT3G48730,AT5G15410,AT2G27830,AT1G76240,AT3G21260,AT3G51280,AT3G54090,AT1G68620,AT3G06760,AT5G51670,AT5G23210,AT1G70200,AT1G44110,AT2G43060,AT2G41010,AT5G63800,AT3G18170,AT5G07000,AT4G28040,AT4G37890,AT1G22910,AT3G53190,AT4G24750,AT5G04760,AT1G62770,AT4G15800,AT1G58270,AT5G18130,AT4G30270,AT2G45210,AT3G27170,AT3G49780,AT4G30390,AT5G15470,AT3G05490,AT1G08510,AT1G05100,AT2G16440,AT1G69480,AT5G66700,AT5G52520,AT1G14890,AT1G01120,AT1G48000,AT3G61460,AT3G27360,AT5G22940
ABI5,NAC002	AT5G22940,AT2G22430,AT3G29575,AT1G25560,AT4G32890,AT1G79270,AT2G18550,AT1G69260,AT1G73590,AT1G15670,AT1G03630,AT5G12940,AT3G26510,AT5G62480,AT5G47370,AT1G64780,AT1G08630,AT1G53560,AT5G06980,AT2G25900,AT2G37640,AT2G39220,AT3G49220,AT3G59940,AT3G14067,AT5G55180,AT3G08030,AT2G31750,AT2G02710,AT1G22640,AT5G54300,AT2G38400,AT3G09540,AT4G39940,AT4G30620,AT3G60490,AT4G04890,AT4G01730,AT1G07430,AT5G60850,AT2G18700,AT1G53700,AT3G16910,AT1G61890,AT5G09440,AT5G16715,AT2G35950,AT5G18570,AT5G11090,AT5G13930,AT2G30140,AT4G36740,AT4G27657,AT5G01520,AT5G20700,AT5G57900,AT5G44260,AT1G69610,AT5G53970,AT2G37470,AT3G61260,AT4G28720,AT1G19850,AT5G54510,AT4G33660,AT1G76240,AT5G47560,AT5G57660,AT3G13720,AT1G23390,AT2G01570,AT4G30530,AT4G01870,AT2G28110,AT2G45400,AT5G37540,AT3G17520,AT4G11175,AT1G68620,AT3G04000,AT2G41010,AT5G13330,AT3G18170,AT5G04760,AT5G52570,AT5G14780,AT4G14010,AT5G51670,AT5G50360,AT1G58270,AT4G05020,AT2G43060,AT5G54080,AT1G06570,AT1G23040,AT3G19590,AT3G24190,AT5G05220,AT3G27170,AT3G53190,AT3G08670,AT5G04340,AT1G64660,AT1G05100,AT5G57240,AT5G58650,AT4G11360,AT3G27360,AT2G16440,AT1G71030,AT1G48000,AT1G69480,AT5G66700,AT1G01120
GBF3,NAC002	AT5G22940,AT2G22430,AT3G29575,AT1G25560,AT4G32890,AT1G79270,AT2G43060,AT1G69260,AT1G73590,AT1G15670,AT1G03630,AT5G12940,AT3G26510,AT5G62480,AT5G47370,AT1G64780,AT1G08630,AT1G53560,AT5G06980,AT2G25900,AT2G37640,AT2G39220,AT3G49220,AT3G59940,AT3G14067,AT5G55180,AT3G08030,AT2G31750,AT2G02710,AT1G22640,AT5G54300,AT2G38400,AT3G09540,AT4G39940,AT4G30620,AT3G60490,AT4G04890,AT1G01120,AT1G07430,AT5G60850,AT1G12240,AT1G53700,AT3G16910,AT1G61890,AT5G09440,AT5G16715,AT2G35950,AT5G18490,AT5G11090,AT5G13930,AT2G30140,AT4G36740,AT4G27657,AT5G01520,AT5G01820,AT5G57900,AT5G44260,AT1G69610,AT5G53970,AT2G37470,AT3G61260,AT4G28720,AT1G19850,AT5G54510,AT4G33660,AT1G76240,AT5G47560,AT5G57660,AT3G13720,AT1G23390,AT2G01570,AT4G30530,AT4G01870,AT2G28110,AT2G45400,AT5G37540,AT3G17520,AT4G11175,AT1G68620,AT3G04000,AT2G41010,AT5G13330,AT3G18170,AT4G15550,AT5G52570,AT5G14780,AT4G14010,AT5G51670,AT5G50360,AT1G58270,AT4G05020,AT2G36270,AT5G54080,AT1G06570,AT1G23040,AT3G19590,AT3G63190,AT5G05220,AT5G52320,AT3G53190,AT3G08670,AT5G04340,AT1G64660,AT1G05100,AT5G57240,AT5G58650,AT4G11360,AT3G27360,AT2G16440,AT1G71030,AT1G48000,AT1G69480,AT5G66700,AT3G61460,AT1G08510,AT5G52520,AT1G14890,AT5G64230,AT5G05410,AT2G13360,AT4G04620,AT5G43260,AT5G05860,AT4G30270,AT4G02280,AT1G26570,AT5G14690,AT1G06640,AT5G05740,AT4G30390,AT3G49780,AT1G62770,AT5G19860,AT4G14150,AT5G17850,AT4G17245,AT1G14730,AT5G43450,AT4G36530,AT5G49360,AT2G36080,AT1G31800,AT3G58120,AT5G63800,AT5G54670,AT5G66080,AT2G45210,AT5G28640,AT5G18130,AT5G47610,AT1G44110,AT4G15800,AT2G16660,AT1G70200,AT5G58770,AT5G23210,AT5G22880,AT4G24750,AT3G11660,AT1G22910,AT4G37890,AT3G12500,AT3G48020,AT4G28040,AT5G07000,AT4G16690,AT4G20870,AT5G65380,AT3G06760,AT5G61810,AT2G40610,AT3G14280,AT5G03555,AT3G21710,AT1G26800,AT4G38860,AT1G63680,AT1G07750,AT5G61000,AT3G57010,AT5G06760,AT3G21260,AT3G61610,AT4G14690,AT5G48150,AT5G27320,AT2G19570,AT2G27830,AT3G44610,AT5G15410,AT1G17140,AT1G76490,AT5G52950,AT5G11890,AT1G27670,AT1G09530,AT5G51210,AT5G23730,AT3G12050,AT1G64500,AT4G34770,AT2G33450,AT4G37510,AT5G23940,AT3G61380,AT1G09450,AT5G39610,AT2G26400,AT2G29090,AT1G20490,AT3G15770,AT5G64330,AT2G28400,AT5G01370,AT1G58340,AT5G63950,AT3G23890,AT5G19260,AT5G25350,AT2G41760,AT4G17840,AT1G32550,AT1G64640,AT2G37750,AT1G23030,AT1G71970,AT5G01840,AT2G38120,AT1G06080,AT3G08740,AT5G51545,AT1G73480,AT5G46580,AT2G33830,AT5G57170,AT1G35680,AT4G26660,AT1G10740,AT5G50335,AT1G04250,AT3G27160,AT2G45570,AT2G42900,AT4G17470,AT1G17700,AT3G03270,AT4G11660,AT4G13180,AT4G27860,AT1G06430,AT4G14550,AT5G55220
BRC1,NAC002	AT2G18700,AT5G22940,AT2G22430,AT3G29575,AT1G25560,AT4G32890,AT1G79270,AT2G43060,AT1G69260,AT5G20700,AT1G15670,AT1G03630,AT5G04760,AT3G26510,AT3G19580,AT5G47370,AT3G27170,AT1G22190,AT1G53560,AT5G06980,AT2G25900,AT2G37640,AT2G26170,AT2G14750,AT3G59940,AT3G14067,AT5G55180,AT2G18550,AT2G31750,AT2G02710,AT1G22640,AT5G54300,AT2G38400,AT4G14550,AT4G13180,AT3G03270,AT1G10740,AT1G73480,AT1G01120,AT1G07430,AT5G60850,AT2G38120,AT1G53700,AT3G16910,AT5G01840,AT1G71970,AT1G64640,AT2G35950,AT5G18490,AT5G11090,AT1G32550,AT2G30140,AT4G36740,AT4G27657,AT5G01520,AT1G58340,AT5G57900,AT5G44260,AT3G15770,AT5G53970,AT2G29090,AT5G23730,AT5G51210,AT1G09530,AT5G54510,AT4G33660,AT1G27670,AT5G47560,AT5G15410,AT3G13720,AT3G44610,AT2G01570,AT2G27830,AT2G19570,AT2G28110,AT2G45400,AT5G37540,AT3G17520,AT3G21260,AT5G06760,AT3G04000,AT1G63680,AT5G13330,AT4G38860,AT5G61810,AT5G52570,AT3G06760,AT5G65380,AT4G20870,AT5G50360,AT1G58270,AT4G05020,AT2G36270,AT5G07000,AT5G22880,AT1G23040,AT3G19590,AT1G70200,AT5G05220,AT5G47610,AT5G66080,AT3G08670,AT5G63800,AT3G58120,AT1G05100,AT2G36080,AT5G58650,AT4G11360,AT5G49360,AT2G16440,AT4G36530,AT1G14730,AT1G69480,AT5G66700,AT5G17850,AT5G19860,AT5G52520,AT4G30390,AT5G14690,AT5G05410,AT4G02280,AT5G05860,AT5G43260
GBF2,NAC002	AT3G60490,AT5G12940,AT5G62480,AT3G24190,AT1G64780,AT1G25560,AT4G32890,AT1G08630,AT2G43060,AT5G43260,AT5G22940,AT1G15670,AT2G22430,AT2G39220,AT3G29575,AT1G79270,AT1G69260,AT5G20700,AT1G03630,AT3G18560,AT3G49220,AT4G10390,AT2G37640,AT3G08030,AT1G53560,AT3G59940,AT5G06980,AT5G55180,AT3G09540,AT2G25900,AT2G02710,AT1G22640,AT5G54300,AT2G14750,AT3G17170,AT3G14067,AT1G06430,AT4G17470,AT2G31750,AT2G42900,AT1G07430,AT5G60850,AT2G38120,AT2G38400,AT1G12240,AT5G01840,AT5G09440,AT1G64640,AT2G35950,AT1G23030,AT5G13930,AT5G01820,AT4G14550,AT4G13180,AT5G64330,AT5G01520,AT1G58340,AT2G37470,AT1G20490,AT3G61260,AT3G61380,AT2G29090,AT5G23730,AT3G03270,AT4G39940,AT1G10740,AT4G33660,AT1G19850,AT1G76240,AT4G27860,AT3G13720,AT1G76490,AT1G17140,AT2G27830,AT4G30530,AT4G30620,AT5G48150,AT5G37540,AT2G41010,AT3G18170,AT5G06760,AT4G15550,AT1G63680,AT4G11660,AT2G40610,AT5G14780,AT5G51670,AT1G06570,AT1G22910,AT5G58770,AT5G50360,AT1G58270,AT1G17700,AT2G16660,AT5G18130,AT5G22880,AT5G54670,AT3G19590,AT1G64660,AT1G71030,AT1G48000,AT5G43450,AT3G61460,AT5G63800,AT1G08510,AT1G05100,AT4G14150,AT1G01120,AT1G53700,AT1G06640,AT2G16440,AT3G16910,AT4G02280,AT5G66700,AT5G17850,AT5G19860,AT1G04250,AT4G30390,AT5G14690,AT5G05410,AT1G69480,AT5G05860,AT1G14730,AT4G04620,AT1G26570,AT2G13360,AT4G26660,AT2G33830,AT5G49360,AT4G11360,AT1G62770,AT1G14890,AT5G58650,AT2G36080,AT4G17245,AT3G58120,AT3G08670,AT5G66080,AT5G47610,AT3G27360,AT1G31800,AT1G71970,AT5G05220,AT1G70200,AT5G04340,AT2G45210,AT5G28640,AT1G23040,AT5G51545,AT1G44110,AT4G15800,AT5G07000,AT2G36270,AT4G05020,AT5G23210,AT3G63190,AT4G24750,AT3G11660,AT3G08740,AT4G37890,AT3G12500,AT1G61890,AT4G28040,AT5G65380,AT4G16690,AT5G54080,AT3G06760,AT5G11090,AT5G52570,AT5G61810,AT2G37750,AT5G03555,AT3G21710,AT1G26800,AT5G13330,AT3G04000,AT1G32550,AT5G61000,AT3G57010,AT3G21260,AT1G68620,AT3G61610,AT4G14690,AT3G17520,AT2G45400,AT4G11175,AT4G01870,AT2G28110,AT1G23390,AT4G27657,AT2G01570,AT5G52950,AT3G44610,AT5G57660,AT5G15410,AT5G47560,AT4G28720,AT1G27670,AT1G09530,AT5G25350,AT5G19260,AT4G37510,AT5G23940,AT5G51210,AT1G09450,AT1G69610,AT5G01370,AT5G53970,AT3G15770,AT5G44260,AT5G57900,AT2G28400
WRKY18,NAC002	AT2G28400,AT3G48730,AT4G11660,AT1G02470,AT2G18700,AT3G05490,AT1G16530,AT4G05520,AT3G26510,AT1G23000,AT2G26170,AT1G64780,AT5G01370,AT2G26400,AT1G64510,AT5G55220,AT4G01730,AT2G18550,AT5G25190,AT5G12940,AT2G43060,AT5G51545,AT5G52320,AT3G08030,AT5G15470,AT1G14730,AT3G18550,AT5G22940,AT4G30270,AT5G62480,AT1G05100,AT5G23940,AT1G58270,AT2G14750,AT3G54090,AT1G63100,AT3G19580,AT1G44900,AT2G22430,AT5G16715,AT2G38400,AT5G47370,AT5G60850,AT3G23890,AT5G01840,AT5G44260,AT2G27580,AT3G24190,AT5G54300,AT5G54510,AT3G61610,AT2G37750,AT3G18560,AT4G10310,AT1G61890,AT1G58340,AT4G10390,AT4G37890,AT2G21790,AT3G06170,AT5G08020,AT2G47240,AT1G73480,AT2G36080,AT1G67180,AT5G49360,AT3G59940,AT1G25560,AT2G25900,AT2G45570,AT1G06430,AT1G06420,AT3G04760,AT1G73590,AT5G19260,AT1G17650,AT5G37540,AT2G25680,AT4G04890,AT4G15550,AT4G28720,AT1G64500,AT3G18170,AT5G11090,AT2G41010,AT1G18485,AT5G27320,AT3G14280,AT5G50360,AT1G01120,AT1G17700,AT2G16660,AT5G52520,AT5G48150,AT5G54670,AT4G36530,AT5G50335,AT1G71030,AT4G30530,AT5G43450,AT1G15670,AT5G63800,AT5G18490,AT2G27830,AT4G14150,AT1G35680,AT1G53700,AT3G14067,AT3G53190,AT3G16910,AT4G02280,AT3G48020,AT4G14010,AT5G19860,AT2G42900,AT2G38120,AT5G55180,AT5G05410,AT4G38860,AT1G07750,AT5G06980,AT2G19570,AT2G41760,AT2G13360,AT4G26660,AT2G33450,AT1G19850,AT4G11360,AT1G62770,AT5G39610,AT5G58650,AT5G09440,AT3G29575,AT3G58120,AT5G57900,AT1G64640,AT1G79270,AT3G27360,AT1G23030,AT4G39940,AT5G51210,AT1G70200,AT5G04340,AT2G45210,AT4G32890,AT1G69260,AT5G25350,AT5G23730,AT1G09530,AT2G31750,AT2G36270,AT4G05020,AT5G23210,AT1G27670,AT5G13930,AT1G03630,AT5G57660,AT3G61380,AT1G20490,AT3G44610,AT3G49220,AT5G65380,AT5G01520,AT5G54080,AT5G52950,AT1G07430,AT5G52570,AT2G01570,AT4G27657,AT5G03555,AT1G23390,AT3G49780,AT5G13330,AT3G04000,AT5G01820,AT5G61000,AT4G01870,AT3G21260,AT1G68620,AT4G14550,AT4G14690,AT3G17520,AT2G45400
