regulators	output
SPCH,ANAC032	AT4G01870,AT5G61810,AT4G15550,AT3G48350,AT4G24370,AT5G07000,AT5G61570,AT1G53560,AT3G61980,AT1G26570,AT5G60210,AT1G07090,AT1G72670,AT2G40610,AT5G05740,AT3G13720,AT5G20700,AT2G19810,AT1G80110,AT5G55180,AT3G08670,AT1G22330,AT1G64660,AT4G15800,AT1G75440,AT5G66080,AT5G54490,AT4G29700,AT3G53130,AT5G54080,AT5G11650,AT1G58270,AT5G28640,AT5G57900,AT1G79520,AT5G63800,AT1G53700,AT1G70200,AT1G68620,AT1G76490,AT1G23390,AT2G37750,AT1G22640,AT5G15410,AT5G04340,AT3G23150,AT4G34000,AT5G59400,AT4G27030,AT2G19570,AT1G49430,AT3G27160,AT4G02280,AT2G33830,AT5G01520,AT1G61890,AT1G09070,AT4G01120,AT1G05100,AT5G50250,AT2G39420,AT5G65380,AT2G06850,AT1G32550,AT4G27280,AT5G06980,AT5G25190,AT1G68780,AT3G15450,AT1G71960,AT1G04310,AT5G49360,AT2G38530,AT3G09350,AT2G28400,AT1G04770,AT3G05490,AT2G17880,AT4G12730,AT1G31710,AT4G17840,AT5G13500,AT1G08630,AT4G14930,AT3G61630,AT1G75150,AT3G03870,AT4G29190,AT4G17245,AT1G15430,AT1G11840,AT1G27730,AT5G19120,AT2G43060,AT5G54160,AT5G13330,AT3G01810,AT3G61260,AT1G55530,AT1G09530,AT4G28720,AT1G79700,AT2G30140,AT4G30390,AT3G22840,AT3G24190,AT1G69850,AT3G14200,AT3G63190,AT2G45210,AT4G11660,AT3G49220,AT4G37890,AT2G40970,AT2G41010,AT1G07430,AT4G23820,AT4G05020,AT3G49790,AT2G45400,AT4G05150,AT1G26800,AT2G16660,AT1G76790,AT2G01910,AT3G07560,AT1G73480,AT5G05410,AT5G47370,AT4G00335,AT2G41410,AT2G38820,AT1G11210,AT2G27050,AT3G18170,AT5G14780,AT5G18490,AT5G22940,AT2G24040,AT3G07320,AT2G15580,AT5G13840,AT2G22430,AT1G51060,AT5G65120,AT1G73830,AT5G55400,AT1G60190,AT3G52060,AT2G46270,AT2G37970,AT3G16910,AT2G41250,AT5G05690,AT2G36220,AT1G56220,AT4G02060,AT2G26330,AT5G23940,AT2G14890,AT5G27320,AT1G01720,AT5G47560,AT4G35770,AT3G03270,AT3G61610,AT5G43260,AT5G47610,AT1G53180,AT2G36080,AT3G56290,AT2G35950,AT3G53190,AT1G49660,AT5G57030,AT4G28040,AT2G47770,AT1G08510,AT1G48100,AT2G19580,AT1G21680,AT2G29510,AT3G05910,AT2G44080,AT4G27450,AT1G70940,AT3G27060,AT5G66700,AT4G39620,AT5G52520,AT1G06570,AT2G01830,AT3G52920,AT3G21550,AT4G17560,AT5G21170,AT1G34000,AT3G59900,AT5G05860,AT2G36270,AT1G76410,AT5G23870,AT2G16720,AT4G11360,AT1G27290,AT5G43450,AT1G71030,AT3G58120,AT5G52570,AT4G30290,AT1G75490,AT3G13120,AT5G03460,AT3G02910,AT2G46600,AT5G63790,AT5G48150,AT2G22850,AT1G61667,AT1G06040,AT2G41870,AT4G13010,AT4G27657,AT4G21510,AT3G21260,AT5G58650,AT3G50070,AT4G30530
HAT2,ANAC032	AT3G48350,AT5G54490,AT1G07090,AT4G15550,AT4G30530,AT5G39610,AT1G22330,AT1G71960,AT2G18550,AT1G30130,AT4G29700,AT3G08970,AT1G70200,AT3G27160,AT1G79700,AT2G01910,AT4G05150,AT1G49430,AT2G15580,AT5G57340,AT1G15660,AT1G31710,AT1G36060,AT3G61630,AT1G35430,AT5G46580,AT3G50560,AT5G54160,AT1G72250,AT1G36390,AT3G60550,AT1G09530,AT1G58270,AT1G16850,AT5G10770,AT3G10985,AT5G63800,AT5G02230,AT1G73500,AT3G04350,AT1G76490,AT1G23390,AT1G72800,AT1G49975,AT1G56600,AT2G46270,AT3G52920,AT5G47420,AT2G01830,AT1G06040,AT1G14890,AT4G28040,AT5G01520,AT5G23940,AT2G29090,AT1G23030,AT1G61890,AT2G37470,AT1G05100,AT1G22190,AT3G03270,AT5G47560,AT1G48000,AT2G31750,AT3G14280,AT1G73480,AT3G18170,AT4G16690,AT2G38120,AT3G27360,AT5G66700,AT1G27670,AT3G06760,AT5G15470,AT1G62770,AT4G28720,AT5G49360,AT2G28400,AT2G01570,AT3G21260,AT3G05490,AT1G08630,AT2G36270
MYB3,ANAC032	AT5G61570,AT1G53560,AT1G11210,AT1G07090,AT3G45600,AT5G60210,AT1G53180,AT3G58120,AT1G71970,AT3G23580,AT4G01870,AT1G56600,AT1G70200,AT3G27160,AT1G79700,AT2G01910,AT4G05150,AT4G21760,AT2G15580,AT5G57340,AT2G19810,AT1G31710,AT1G36060,AT3G61630,AT1G35430,AT1G75440,AT3G50560,AT1G55200,AT1G72250,AT5G11650,AT4G04830,AT5G47370,AT1G58270,AT5G61810,AT2G17880,AT3G10985,AT5G63800,AT5G02230,AT3G01810,AT3G04350,AT1G76490,AT1G23390,AT1G80110,AT5G05740,AT3G08970,AT4G29700,AT3G52920,AT4G12730,AT2G01830,AT1G06040,AT5G07000,AT4G28040,AT5G01520,AT5G23940,AT2G29090,AT1G23030,AT1G79520,AT2G37470,AT1G05100,AT1G11840,AT3G03270,AT5G47560,AT5G19120,AT2G31750,AT1G18370,AT1G73480,AT3G18170,AT2G19760,AT2G38120,AT3G27360,AT3G48350,AT1G27670,AT3G06760,AT5G54490,AT4G00335,AT1G30130,AT4G15550,AT3G23150,AT2G01570,AT3G21260,AT3G05490,AT4G23820,AT1G76790,AT4G27030,AT3G07320,AT2G41410,AT5G06760,AT5G04760,AT5G48150,AT5G01840,AT5G13330,AT4G24750,AT2G43060,AT3G16340,AT2G27050,AT5G18130,AT1G23040,AT5G05690,AT2G30140,AT5G09440,AT3G21710,AT5G60850,AT5G67600,AT4G30390,AT5G06980,AT2G45400,AT4G01120,AT1G17140,AT2G45210,AT3G15450,AT2G26170,AT4G37890,AT5G44260,AT1G76240,AT4G34770,AT3G49780,AT3G14067,AT2G41010,AT3G18680,AT1G51060,AT1G01720,AT3G44610,AT3G09540,AT1G73830,AT3G63190,AT2G16440,AT3G57010,AT4G05020,AT5G57660,AT1G07430,AT4G27450,AT5G53970,AT1G70940,AT5G20700,AT5G14780,AT3G12500,AT2G29510,AT1G26800,AT2G40610,AT1G48100,AT1G68780,AT3G05910,AT3G57060,AT5G17850,AT1G04770,AT1G04310,AT2G16660,AT4G04610,AT1G01120,AT2G22850,AT5G23210,AT1G63680,AT3G61610,AT4G27657,AT3G27060,AT5G27320,AT5G63790,AT2G27830,AT2G26550,AT1G75490,AT4G15800,AT5G65380,AT1G79270,AT2G33830,AT4G14010,AT1G78050,AT4G14930,AT3G27170,AT2G36080,AT4G13010,AT3G26510,AT2G14750,AT3G16910,AT1G75150,AT5G37540,AT5G52570,AT1G71030,AT5G58650,AT5G47610,AT3G03870,AT5G22940,AT4G29190,AT1G69480,AT3G47340,AT4G02280,AT1G17190,AT1G08510,AT4G36180,AT4G11360,AT5G58770,AT5G06280,AT5G50360,AT1G06570,AT5G05860,AT4G01330,AT3G20510,AT3G13720,AT4G30530,AT2G39010,AT3G08670,AT1G21680,AT1G64660,AT2G44080,AT2G44450,AT2G24540,AT1G69490,AT2G37040,AT4G05070,AT5G03460,AT1G23870,AT2G45960,AT4G33660,AT1G76410,AT2G22930,AT2G19580,AT5G04340,AT2G41870,AT1G80180,AT2G16270,AT5G53760,AT1G69850,AT1G22330,AT5G53980,AT5G39610,AT3G02170,AT1G27290,AT4G17170,AT2G21180,AT1G08560,AT2G40970,AT3G52110,AT5G15410,AT1G55530,AT3G20260,AT3G51720,AT3G62650,AT5G66080,AT1G68620,AT5G23870,AT3G52060,AT1G09250,AT3G49220,AT1G29490,AT5G65120,AT2G16720,AT5G17650,AT5G54080,AT3G61260,AT2G21185,AT4G30130,AT5G61820,AT1G16730,AT3G49790,AT4G33470,AT5G02020,AT4G34830,AT3G04010,AT1G01370,AT3G14595,AT1G06000,AT3G17100,AT2G38820,AT5G57900,AT5G66690,AT3G02910,AT1G78570,AT1G61667,AT1G21410,AT5G42800,AT5G57910,AT4G35620,AT5G47190,AT1G60190
ZAT10,ANAC032	AT4G34000,AT1G22910,AT1G53560,AT5G25190,AT1G07090,AT3G45600,AT2G46270,AT1G53180,AT1G72670,AT1G71970,AT1G49430,AT4G01870,AT2G06850,AT1G70200,AT3G27160,AT1G15660,AT2G01910,AT1G26570,AT4G21760,AT1G36390,AT5G57340,AT2G19810,AT1G02470,AT1G36060,AT3G61630,AT5G67270,AT1G70070,AT3G50560,AT3G11690,AT1G72250,AT5G10770,AT2G38530,AT1G49975,AT1G58270,AT1G14890,AT1G52400,AT3G10985,AT5G63800,AT1G22190,AT3G01810,AT4G11175,AT1G76490,AT1G23390,AT1G80110,AT5G05740,AT1G48000,AT3G14280,AT5G64260,AT5G49360,AT5G64230,AT1G08630,AT3G14350,AT4G17840,AT5G59400,AT5G23940,AT2G29090,AT5G11090,AT1G79520,AT2G37470,AT1G05100,AT2G18550,AT3G11660,AT5G47560,AT4G17245,AT3G19590,AT1G18370,AT5G57240,AT4G11660,AT5G54510,AT2G38120,AT3G27360,AT3G48350,AT1G27670,AT4G36740,AT5G50250,AT4G00335,AT2G35950,AT5G23730,AT3G23150,AT2G01570,AT2G26330,AT4G30270,AT4G23820,AT1G76790,AT4G27030,AT4G27260,AT2G41410,AT5G64580,AT5G04760,AT1G19850,AT5G01840,AT5G51670,AT4G24750,AT1G32550,AT3G50070,AT4G17560,AT5G18130,AT2G02710,AT5G05690,AT3G48020,AT5G09440,AT5G52520,AT5G60850,AT3G53190,AT3G14890,AT5G57030,AT1G15430,AT4G01120,AT1G17140,AT2G45210,AT1G49660,AT1G03457,AT4G37890,AT5G18690,AT4G35770,AT4G34770,AT3G49780,AT3G54630,AT2G41010,AT3G59900,AT4G27460,AT1G01720,AT3G44610,AT4G02060,AT3G13120,AT3G63190,AT2G37970,AT3G24190,AT4G05020,AT5G57660,AT1G07430,AT4G27450,AT1G31800,AT1G70940,AT5G20700,AT4G33400,AT2G41250,AT2G29510,AT1G26800,AT2G40610,AT5G28640,AT1G68780,AT3G05910,AT3G03130,AT2G33590,AT1G04770,AT1G04310,AT4G22910,AT4G04610,AT3G26520,AT2G22850,AT5G23210,AT1G63680,AT3G61610,AT4G27657,AT2G24040,AT5G27320,AT5G63790,AT2G27830,AT2G26550,AT1G56220,AT4G15800,AT1G09530,AT1G79270,AT4G21510,AT4G14010,AT1G64900,AT4G14930,AT3G27170,AT1G13990,AT4G13010,AT1G21410,AT2G14750,AT5G66690,AT3G17100,AT5G37540,AT1G01370,AT4G30130,AT5G58650,AT5G47610,AT3G61260,AT5G22940,AT5G54080,AT1G69480,AT3G47340,AT4G02280,AT1G17190,AT1G08510,AT4G36180,AT5G17650,AT2G16720,AT5G65120,AT3G49220,AT1G06570,AT5G23870,AT4G01330,AT3G20510,AT3G20260,AT4G30530,AT3G52110,AT3G08670,AT1G08560,AT1G27290,AT2G44080,AT5G53980,AT2G24540,AT1G69850,AT2G37040,AT5G53760,AT5G03460,AT2G41870,AT5G04340,AT4G33660,AT1G76410,AT2G19580
ATHB_6,ANAC032	AT5G47370,AT5G61570,AT4G29700,AT5G18490,AT2G18550,AT1G18370,AT1G11210,AT1G79700,AT1G73500,AT1G36060,AT1G60190,AT1G09070,AT4G29190,AT1G22910,AT5G25190,AT1G16850,AT2G44080,AT1G70940,AT4G28720,AT5G09870,AT5G11650,AT3G24190,AT5G55180,AT1G22190,AT2G06850,AT3G05490,AT2G31750,AT1G62770,AT2G01830,AT2G14890,AT2G16440,AT4G17840,AT3G18170,AT5G11090,AT3G04010,AT5G54490,AT3G06760,AT2G38120,AT5G63800,AT4G11660,AT2G01910,AT1G30130,AT1G23390,AT2G43060,AT3G21260,AT1G48000,AT3G61460,AT1G14890,AT2G27830,AT3G50560,AT1G70200,AT4G28040,AT5G23210,AT5G22940,AT3G21710,AT5G15410,AT5G57340,AT2G01570,AT5G01370,AT5G47560,AT2G46600,AT4G15800,AT3G14350,AT5G13500,AT1G58270,AT3G16340,AT4G39620,AT2G27050,AT4G00335,AT1G05100,AT4G30390,AT2G37470,AT3G11930,AT3G27360,AT2G46650,AT3G23150,AT1G69490,AT3G03270,AT1G01120,AT1G76490,AT2G36630,AT1G76790,AT2G36220,AT5G64260,AT3G57060,AT5G04760,AT1G19850,AT4G24090,AT5G51670,AT1G48610,AT1G32550,AT1G49430,AT1G61890,AT5G18130,AT1G61667,AT4G24750,AT2G38530,AT5G09440,AT5G10770,AT3G52920,AT3G53190,AT4G28300,AT3G44610,AT1G17140,AT2G40970,AT2G33830,AT2G45210,AT1G22330,AT3G62650,AT3G50070,AT5G52520,AT3G49220,AT5G39610,AT4G27460,AT3G03870,AT2G41010,AT5G53760,AT4G01330,AT1G69850,AT2G28400,AT3G52060,AT4G30270,AT5G57660,AT4G37890,AT1G17190,AT5G18690,AT5G20700,AT5G54510,AT3G27170,AT4G27260,AT1G68620,AT4G21510,AT1G55530,AT1G09530,AT1G56220,AT3G49780,AT2G26550,AT1G21680,AT4G27657,AT4G04610,AT5G23870,AT2G19810,AT4G35770,AT2G45960,AT1G76240,AT1G69480,AT2G37040,AT1G01720,AT4G21760,AT2G24040,AT1G53180,AT5G66700,AT5G15470,AT3G02170,AT5G65120,AT3G26520,AT1G08510,AT5G66690,AT5G07000,AT4G14930,AT3G05910
SVP,ANAC032	AT2G22430,AT3G58120,AT5G61570,AT3G61980,AT5G18490,AT2G18550,AT1G18370,AT1G11210,AT1G79700,AT1G73500,AT4G34000,AT2G36270,AT1G09070,AT4G29190,AT5G59845,AT1G56600,AT5G06980,AT2G36080,AT1G70940,AT4G28720,AT3G13120,AT5G11650,AT1G35430,AT5G55180,AT4G04830,AT2G22850,AT3G22840,AT4G33660,AT1G62770,AT2G01830,AT4G16690,AT2G02710,AT1G07430,AT4G20870,AT2G13360,AT3G27160,AT1G33055,AT4G11175,AT2G38120,AT5G63800,AT4G11660,AT4G04620,AT1G30130,AT1G23390,AT2G43060,AT3G14280,AT5G05740,AT3G61460,AT3G01810,AT5G05410,AT3G50560,AT1G70200,AT2G46270,AT5G23210,AT5G22940,AT3G21710,AT4G30530,AT5G57340,AT2G01570,AT5G01370,AT5G47560,AT5G48150,AT5G13330,AT1G26570,AT5G13500,AT5G54670,AT3G16340,AT1G28330,AT1G34000,AT2G40610,AT1G79520,AT4G36740,AT2G35950,AT3G11930,AT5G44260,AT2G41230,AT1G15660,AT3G57010,AT3G62910,AT1G01120,AT1G76490,AT1G73830,AT1G76790,AT2G36220,AT5G53970,AT4G10040,AT4G37210,AT1G19850,AT5G03870,AT5G51670,AT5G14780,AT1G14730,AT1G49430,AT1G31710,AT1G78050,AT3G16910,AT3G07560,AT4G35620,AT5G09440,AT5G05690,AT3G52920,AT3G53190,AT1G78570,AT3G44610,AT1G75150,AT1G71030,AT5G52570,AT3G14890,AT1G31800,AT3G62650,AT3G50070,AT3G49790,AT5G05860,AT1G49660,AT2G39010,AT5G27320,AT4G22910,AT5G53760,AT4G01330,AT1G69850,AT5G64230,AT2G22930,AT4G30270,AT5G57660,AT1G23870,AT1G17190,AT5G18690,AT2G33590,AT5G54510,AT3G59900,AT3G19590,AT5G63790,AT1G27290,AT3G20260,AT1G09530,AT3G08670,AT4G02280,AT1G06040,AT3G61630,AT4G36180,AT4G04610,AT3G47340,AT2G41250,AT1G08510,AT2G45960,AT3G26520,AT1G53180,AT2G37040
ABI5,ANAC032	AT5G47370,AT2G22430,AT1G53560,AT3G10985,AT2G19580,AT1G60190,AT2G18550,AT3G45600,AT2G17880,AT5G22290,AT4G12730,AT4G34000,AT1G16850,AT3G26510,AT1G08630,AT3G24190,AT1G56600,AT5G06980,AT1G75440,AT2G45400,AT4G28720,AT5G47420,AT4G13010,AT3G14067,AT5G55180,AT2G31750,AT2G22850,AT2G16440,AT4G33660,AT5G50360,AT5G60850,AT3G18170,AT2G02710,AT1G07430,AT5G05220,AT5G11090,AT1G11840,AT5G54490,AT4G11175,AT3G09540,AT2G01910,AT1G07090,AT1G48000,AT3G04000,AT1G23390,AT2G43060,AT3G17520,AT5G01520,AT1G14200,AT1G58270,AT5G57240,AT2G30140,AT1G05100,AT2G46270,AT2G37470,AT5G22940,AT3G27360,AT4G30530,AT2G17560,AT2G01570,AT1G23040,AT5G47560,AT2G47770,AT5G13330,AT1G64900,AT1G69490,AT1G22640,AT2G36630,AT5G64260,AT5G04760,AT1G48100,AT1G48610,AT4G36740,AT2G35950,AT1G71960,AT5G44260,AT4G17550,AT4G37370,AT1G61890,AT4G17560,AT1G01120,AT5G57900,AT5G42800,AT1G53700,AT2G36220,AT5G53970,AT4G10040,AT2G40970,AT1G19850,AT2G38820,AT5G51670,AT5G14780,AT3G14595,AT1G22330,AT4G34830,AT3G49220,AT3G16910,AT5G61820,AT4G11360,AT5G09440,AT5G37540,AT3G13720,AT3G53190,AT1G79270,AT2G41010,AT5G54080,AT1G71030,AT5G52570,AT3G14890,AT4G01120,AT4G01870,AT5G20700,AT3G49790,AT3G27170,AT1G76410,AT4G27260,AT2G41870,AT1G68620,AT2G24540,AT3G52110,AT1G56220,AT1G21680,AT4G27657,AT3G11690,AT5G57660,AT4G05020,AT1G06570,AT1G64660,AT5G04340,AT5G54510,AT3G61260,AT3G19590,AT5G63790,AT5G58650,AT1G21410,AT4G14010,AT3G08670,AT1G04310,AT1G76240,AT3G61630,AT4G36180,AT1G69480,AT5G66700,AT1G01720,AT1G53180
BRC1,ANAC032	AT1G53180,AT1G53560,AT2G15580,AT1G11210,AT2G43060,AT1G60190,AT1G73500,AT3G45600,AT3G58120,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT2G19580,AT1G22190,AT5G19120,AT5G60210,AT2G45400,AT2G18550,AT1G79700,AT2G17880,AT3G14067,AT5G55180,AT3G05910,AT1G35430,AT2G16440,AT4G33660,AT5G50360,AT5G60850,AT4G34000,AT2G44080,AT1G07430,AT4G29190,AT5G11090,AT3G22840,AT5G59845,AT5G01840,AT5G09870,AT1G56600,AT1G07090,AT5G06980,AT1G73480,AT1G75440,AT2G36270,AT5G49360,AT2G21180,AT4G27280,AT1G58270,AT2G31750,AT2G38120,AT1G05100,AT5G63800,AT5G23730,AT2G22850,AT1G30130,AT2G02710,AT2G27830,AT2G01570,AT1G23040,AT5G47560,AT5G05220,AT5G13330,AT1G11840,AT1G80110,AT5G19860,AT3G04000,AT5G64260,AT5G04760,AT2G19570,AT3G17520,AT4G30390,AT5G01520,AT1G71960,AT5G44260,AT4G20870,AT2G30140,AT2G46270,AT2G29090,AT3G03270,AT3G17100,AT3G06760,AT1G53700,AT2G36220,AT5G22940,AT1G71970,AT2G40970,AT3G21260,AT5G06760,AT5G06280,AT2G17560,AT2G47770,AT5G55400,AT1G69490,AT5G15410,AT1G14730,AT1G06000,AT2G22430,AT1G16730,AT5G05690,AT1G09250,AT3G44610,AT1G27670,AT1G22640,AT5G61810,AT1G48100,AT3G52060,AT3G56290,AT1G63680,AT5G03460,AT3G14350,AT5G05410,AT4G36740,AT3G50560,AT1G70200,AT2G35950,AT1G06040,AT2G26170,AT4G17550,AT1G01720,AT1G21680,AT5G43260,AT3G11690,AT3G01210,AT3G61630,AT4G17560,AT1G01120,AT5G57900,AT3G08670,AT3G19590,AT1G28330,AT5G58650,AT5G53970,AT1G79520,AT5G47370,AT5G17850,AT2G38820,AT5G54510,AT4G05020,AT1G69480,AT5G66700,AT4G27657,AT1G56220,AT2G45960,AT1G21780,AT1G32550,AT2G41230,AT2G41250,AT1G80370,AT1G15660,AT3G14595,AT1G22330,AT5G47190,AT4G37210,AT5G07000,AT4G14930,AT3G52110,AT3G16910,AT4G02280,AT2G29510,AT2G14750,AT1G09530,AT5G61820,AT4G11360,AT1G01370,AT5G52520,AT3G20260,AT5G47610,AT5G02020,AT4G33470,AT5G37540,AT2G16720,AT2G21185,AT3G13720,AT1G79270,AT1G23870,AT4G27260,AT5G65380,AT3G03870,AT5G52570,AT5G66080,AT3G27170,AT3G14890,AT5G05860,AT2G16270,AT3G49790,AT4G01120,AT1G69850,AT1G68780,AT2G39010,AT1G55530,AT5G20700,AT5G53980,AT4G01330,AT4G21510
BRC1,RGA	AT1G25560,AT4G31800,AT1G53560,AT1G03610,AT3G29575,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT1G22190,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
GBF3,RGA	AT1G25560,AT1G53560,AT1G03610,AT3G29575,AT3G27330,AT5G02230,AT4G13010,AT1G08630,AT3G15450,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT1G70940,AT4G15550,AT3G63190,AT3G13120,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
GBF2,RGA	AT1G25560,AT1G53560,AT1G03610,AT3G29575,AT3G27330,AT5G02230,AT4G13010,AT1G08630,AT3G15450,AT4G29700,AT3G10985,AT1G18370,AT2G36080,AT3G24190,AT1G70940,AT4G15550,AT3G63190,AT3G13120,AT5G23940,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
ATHB_40,RGA	AT1G25560,AT4G31800,AT1G03610,AT3G29575,AT5G02230,AT4G13010,AT1G08630,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT2G36080,AT3G24190,AT1G22190,AT1G70940,AT4G15550,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT4G29190,AT2G44080
HEC1,RGA	AT1G25560,AT4G31800,AT1G53560,AT1G03610,AT3G29575,AT5G02230,AT4G13010,AT1G08630,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT3G24190,AT1G22190,AT1G70940,AT4G15550,AT3G63190,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
WRKY18,RGA	AT1G25560,AT1G03610,AT3G29575,AT5G02230,AT4G13010,AT3G10985,AT5G18490,AT3G26510,AT2G36080,AT3G24190,AT4G15550,AT3G13120,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT5G49360,AT5G06980,AT4G29190
ATHB_53,RGA	AT1G25560,AT1G03610,AT3G29575,AT5G02230,AT1G08630,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT2G36080,AT1G22190,AT1G70940,AT4G15550,AT5G47370,AT3G14067,AT2G22430,AT5G49360,AT4G29190,AT2G44080
NAC002,RGA	AT1G25560,AT1G53560,AT3G29575,AT1G08630,AT5G18490,AT3G26510,AT2G36080,AT3G24190,AT1G22190,AT4G15550,AT3G63190,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT5G49360,AT5G06980
NAP,RGA	AT1G25560,AT1G53560,AT2G36080,AT1G22190,AT4G15550,AT5G23940,AT3G14067,AT5G49360
ATHB_21,RGA	AT1G25560,AT1G03610,AT5G02230,AT4G29700,AT3G10985,AT5G18490,AT2G36080,AT1G70940,AT5G47370,AT3G14067,AT2G22430,AT5G49360,AT4G29190
ATHB_6,RGA	AT1G25560,AT4G31800,AT1G03610,AT4G29700,AT5G18490,AT1G18370,AT3G24190,AT1G22190,AT1G70940,AT5G47370,AT4G29190,AT2G44080
ABI5,RGA	AT1G25560,AT1G53560,AT3G29575,AT3G27330,AT4G13010,AT1G08630,AT3G10985,AT3G26510,AT3G24190,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G06980
ERF003,RGA	AT1G25560,AT3G27330,AT4G13010,AT3G26510,AT2G36080,AT1G22190,AT4G15550,AT3G14067,AT2G22430
MYB3,RGA	AT4G31800,AT1G53560,AT1G03610,AT3G29575,AT5G02230,AT4G13010,AT3G15450,AT4G29700,AT3G10985,AT1G18370,AT3G26510,AT2G36080,AT1G70940,AT4G15550,AT3G63190,AT5G23940,AT5G47370,AT3G14067,AT2G22850,AT5G06980,AT4G29190,AT2G44080
ZAT10,RGA	AT4G31800,AT1G53560,AT4G13010,AT1G08630,AT3G10985,AT1G18370,AT3G24190,AT1G22190,AT1G70940,AT3G63190,AT3G13120,AT5G23940,AT2G22850,AT5G49360,AT2G44080
ZAT6,RGA	AT1G53560,AT1G03610,AT3G29575,AT3G27330,AT5G02230,AT4G13010,AT1G08630,AT3G15450,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT3G24190,AT1G22190,AT1G70940,AT4G15550,AT3G63190,AT3G13120,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
AtMYB56,RGA	AT1G53560,AT1G03610,AT1G70940,AT2G22850,AT5G49360
NAC6_ORE1,RGA	AT1G53560,AT4G29700,AT4G15550
NAC102,RGA	AT1G53560,AT3G29575,AT3G27330,AT5G02230,AT1G08630,AT3G15450,AT4G29700,AT3G10985,AT5G18490,AT3G26510,AT2G36080,AT4G15550,AT3G63190,AT3G13120,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT5G49360,AT5G06980,AT4G29190,AT2G44080
NAC018,RGA	AT1G53560,AT1G08630,AT2G36080,AT1G22190,AT4G15550,AT5G23940,AT5G49360
ANAC032,RGA	AT1G53560,AT5G02230,AT4G13010,AT1G08630,AT3G15450,AT4G29700,AT3G10985,AT5G18490,AT1G18370,AT3G26510,AT2G36080,AT3G24190,AT1G22190,AT1G70940,AT4G15550,AT3G63190,AT3G13120,AT5G23940,AT5G47370,AT3G14067,AT2G22430,AT2G22850,AT5G49360,AT5G06980,AT4G29190,AT2G44080
SVP,RGA	AT3G29575,AT3G27330,AT5G18490,AT1G18370,AT2G36080,AT1G70940,AT3G13120,AT2G22430,AT2G22850,AT5G06980,AT4G29190
HAT2,RGA	AT3G29575,AT5G02230,AT1G08630,AT4G29700,AT3G10985,AT1G22190,AT4G15550,AT5G23940,AT5G49360
DREB2A,RGA	AT5G02230,AT5G23940,AT5G06980,AT4G29190
TCX2,ATHB_21	AT1G61667,AT1G31710,AT4G22570,AT5G51670,AT1G61890,AT1G17190,AT2G22680,AT3G52920,AT5G01370,AT4G27450,AT4G30270,AT5G57340,AT1G09450,AT2G28400,AT1G70000,AT3G27160,AT2G36080,AT1G48610,AT5G20700,AT1G70940,AT4G27260,AT3G45600,AT2G16720,AT3G08030,AT5G46580,AT1G49430,AT2G22430,AT1G64780,AT5G49360,AT5G25190,AT3G29185,AT5G62790,AT1G04610,AT2G43060,AT1G56220,AT5G52320,AT5G54510,AT2G26910,AT5G01840,AT1G30040,AT1G06080,AT2G34640,AT4G30410,AT3G17360,AT5G51560,AT4G04890,AT1G21810,AT4G22190,AT2G40900,AT1G58270,AT5G27330,AT2G15580,AT1G52140,AT5G16715,AT5G19110,AT2G26400,AT5G16110,AT1G71970,AT1G31690,AT1G17140,AT1G71960,AT1G23000,AT3G59940,AT1G23050
