master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G18550	AT1G09530	1.31036873805004e-06	2.19875432316871e-06	22.4475524475524	AT1G11210,AT1G56600,AT1G69260,AT2G46270,AT3G29575
AT3G18550	AT4G34000	2.04265327574715e-14	9.2975942206422e-14	22.792899408284	AT1G05100,AT1G22190,AT1G77450,AT1G80110,AT2G18550,AT2G30140,AT2G47770,AT3G02480,AT4G02280,AT5G05220,AT5G05410,AT5G13330
AT3G18550	AT1G22640	8.79368236803701e-12	2.52340450561062e-11	17.5235732009926	AT1G01720,AT1G05100,AT1G60190,AT1G69260,AT1G77450,AT1G80110,AT2G30140,AT4G02280,AT4G05020,AT5G05410,AT5G13330
AT3G18550	AT1G01720	2.45874495409858e-29	6.49108667882025e-28	13.249530956848	AT1G05100,AT1G07430,AT1G22190,AT1G58340,AT1G69260,AT1G69480,AT2G18550,AT2G30140,AT2G35950,AT2G36270,AT3G04000,AT3G06760,AT3G17520,AT3G19580,AT3G29575,AT4G02280,AT4G05020,AT4G13180,AT4G27657,AT4G30390,AT4G36740,AT5G04760,AT5G05220,AT5G05410,AT5G06760,AT5G11090,AT5G13330,AT5G17850,AT5G50360,AT5G51210,AT5G54300,AT5G57900,AT5G66700
AT3G18550	AT1G77450	1.40625676236208e-20	1.42789148178303e-19	11.5384615384615	AT1G01720,AT1G05100,AT1G22190,AT1G56600,AT1G60190,AT1G69260,AT1G80110,AT2G30140,AT2G35950,AT2G36220,AT2G46270,AT2G47770,AT3G04000,AT3G06760,AT3G61630,AT4G02280,AT4G05020,AT4G30390,AT5G04760,AT5G05410,AT5G13330,AT5G17850,AT5G54300,AT5G61820,AT5G66700
AT3G18550	AT5G05410	1.2478279249936e-16	7.26676262202155e-16	15.5470085470086	AT1G01720,AT1G05100,AT1G22190,AT1G56600,AT1G60190,AT1G69260,AT1G77450,AT1G80110,AT2G36220,AT2G36270,AT2G46270,AT2G47770,AT3G02480,AT3G61630,AT4G02280,AT5G05220,AT5G13330
AT3G18550	AT1G69490	3.7263577788313e-16	2.07836293016506e-15	12.0295857988166	AT1G07430,AT1G22190,AT1G69480,AT2G18550,AT2G35950,AT3G19580,AT4G02280,AT4G05020,AT4G13180,AT4G36740,AT5G04760,AT5G05220,AT5G05410,AT5G06760,AT5G11090,AT5G13330,AT5G54300,AT5G57900,AT5G66700
AT3G18550	AT4G31800	8.16438095703487e-30	2.4869960453737e-28	9.2034965034965	AT1G05100,AT1G07430,AT1G11210,AT1G22190,AT1G30040,AT1G56600,AT1G58340,AT1G60190,AT1G69260,AT1G75810,AT1G77450,AT2G16720,AT2G18550,AT2G21180,AT2G30140,AT2G35950,AT2G36220,AT2G36270,AT2G46270,AT3G04000,AT3G06760,AT3G17800,AT3G19580,AT3G29575,AT3G54420,AT4G05020,AT4G13180,AT4G27280,AT4G27657,AT4G30390,AT4G36740,AT5G03210,AT5G04760,AT5G05220,AT5G05410,AT5G11090,AT5G13330,AT5G17850,AT5G54300,AT5G57900,AT5G61820
AT3G18550	AT4G36740	8.9814623848665e-17	5.55727985063615e-16	7.32628909551986	AT1G05100,AT1G11210,AT1G22190,AT1G30040,AT1G56600,AT1G58340,AT1G60190,AT1G69260,AT1G75810,AT2G16720,AT2G18550,AT2G30140,AT2G35950,AT2G36220,AT2G36270,AT3G06760,AT3G17520,AT3G29575,AT4G02280,AT4G27657,AT5G03210,AT5G04760,AT5G11090,AT5G13330,AT5G17850,AT5G54300,AT5G66700
AT3G18550	AT4G14770	2.67383768334597e-05	4.01075652501896e-05	6.47667087011349	AT1G05100,AT1G30040,AT1G58340,AT1G75810,AT2G16720,AT2G18550,AT3G61630,AT5G17850
AT3G18550	AT5G60850	6.73553774659737e-19	5.7984194514186e-18	9.95657568238214	AT1G05100,AT1G07430,AT1G11210,AT1G22190,AT1G30040,AT1G55530,AT1G58340,AT1G75810,AT2G16720,AT2G18550,AT2G35950,AT3G17520,AT3G17800,AT3G19580,AT4G02280,AT4G13180,AT4G27657,AT5G03210,AT5G05220,AT5G05410,AT5G11090,AT5G17850,AT5G51210,AT5G54300,AT5G66700
AT3G18550	AT2G36270	5.90488522223807e-29	1.46145909250392e-27	12.9340659340659	AT1G01720,AT1G05100,AT1G07430,AT1G56600,AT1G60190,AT1G69260,AT1G69480,AT1G75810,AT1G77450,AT2G18550,AT2G30140,AT2G35950,AT2G36220,AT2G46270,AT2G47770,AT3G02480,AT3G04000,AT3G17520,AT3G29575,AT3G61630,AT4G05020,AT4G17550,AT4G27657,AT4G36740,AT5G04760,AT5G05220,AT5G11090,AT5G13330,AT5G50360,AT5G54300,AT5G57900,AT5G61820,AT5G66700
AT3G18550	AT2G22540	4.44096674749504e-15	2.11882268916631e-14	9.77913175932978	AT1G07430,AT1G11210,AT1G30040,AT1G56600,AT1G58340,AT1G77450,AT2G18550,AT2G35950,AT2G36220,AT2G36270,AT2G46270,AT3G17800,AT3G19580,AT3G29575,AT3G61630,AT4G02280,AT4G36740,AT5G05410,AT5G13330,AT5G51210
AT3G18550	AT2G18550	1.01103551239528e-07	1.83655992159877e-07	6.29411764705882	AT1G11210,AT1G30040,AT2G16720,AT2G30140,AT2G35950,AT2G36220,AT3G06760,AT3G17520,AT4G27657,AT5G03210,AT5G04760,AT5G13330,AT5G54300
AT3G18550	AT1G52880	2.67932058089001e-20	2.52621654769629e-19	13.0557029177719	AT1G07430,AT1G11210,AT1G22190,AT1G58340,AT1G69260,AT1G69480,AT2G18550,AT2G35950,AT3G19580,AT3G61630,AT4G02280,AT4G05020,AT4G13180,AT4G36740,AT5G04760,AT5G05220,AT5G05410,AT5G06760,AT5G11090,AT5G13330,AT5G54300,AT5G57900,AT5G66700
AT3G18550	AT5G66700	3.15876448001079e-09	6.68914831061108e-09	6.27106227106227	AT1G11210,AT1G22190,AT1G30040,AT1G58340,AT1G60190,AT1G69260,AT2G16720,AT2G18550,AT2G35950,AT3G06760,AT3G17520,AT3G29575,AT4G27657,AT5G03210,AT5G11090,AT5G13330
AT3G18550	AT2G01570	0.0609360696942639	0.0705575543828319	4.93846153846154	AT1G22190,AT3G29575
AT3G18550	AT2G22430	4.99206491261219e-35	6.58952568464809e-33	9.79177718832891	AT1G01720,AT1G05100,AT1G07430,AT1G11210,AT1G30040,AT1G55530,AT1G56600,AT1G58340,AT1G60190,AT1G69260,AT1G69480,AT1G77450,AT1G80110,AT2G16720,AT2G18550,AT2G21180,AT2G30140,AT2G35950,AT2G36220,AT2G36270,AT2G47770,AT3G02480,AT3G04000,AT3G06760,AT3G17520,AT3G17800,AT3G61630,AT4G02280,AT4G05020,AT4G13180,AT4G17550,AT4G27280,AT4G27657,AT4G30390,AT5G03210,AT5G05220,AT5G06760,AT5G11090,AT5G13330,AT5G17850,AT5G50360,AT5G51210,AT5G54300,AT5G57900,AT5G61820,AT5G66700
AT3G18550	AT4G01120	8.49599118189762e-10	1.84857830111619e-09	28.8076923076923	AT1G05100,AT1G69260,AT1G77450,AT3G02480,AT4G02280,AT5G05220,AT5G50360
AT3G18550	AT2G43060	1	1	0	
AT3G18550	AT5G47370	2.3860600340689e-12	7.68194937797792e-12	9.0272952853598	AT1G05100,AT1G22190,AT1G30040,AT1G56600,AT1G58340,AT1G69260,AT2G18550,AT2G35950,AT2G36270,AT3G02480,AT3G19580,AT3G29575,AT3G61630,AT4G36740,AT5G03210,AT5G13330,AT5G66700
AT1G43700	AT4G01120	1	1	0	
AT1G43700	AT4G14770	1	1	0	
AT3G60490	AT5G17800	0.0721891944743865	0.0833437930374841	4.48951048951049	AT1G02470,AT5G50360
AT3G60490	AT4G01120	5.33465532506116e-06	8.5527267559685e-06	28.2197802197802	AT1G05100,AT1G77450,AT4G02280,AT5G50360
AT3G60490	AT1G22640	2.18616649070256e-07	3.86483004606345e-07	15.0301003344482	AT1G05100,AT1G60190,AT1G77450,AT1G80110,AT2G30140,AT4G02280,AT5G57050
